,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent
80,"14 PITMAN STREET, CHEWTON",-37.083013,144.266589,4.0,1.0,1,$260_pw,House,March 2008,3451,2008,3,CHEWTON,260
81,"14 PITMAN STREET, CHEWTON",-37.083013,144.266589,4.0,1.0,1,$260,House,March 2008,3451,2008,3,CHEWTON,260
104,"52 FRYERS ROAD, CHEWTON",-37.087738,144.257555,3.0,1.0,2,$350_pw,House,April 2008,3451,2008,4,CHEWTON,350
105,"52 FRYERS ROAD, CHEWTON",-37.087738,144.257555,3.0,1.0,2,$340,House,March 2008,3451,2008,3,CHEWTON,340
147,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2.0,1.0,0,$200_pw,House,July 2008,3451,2008,7,CHEWTON,200
148,"6 BAKER STREET, CHEWTON",-37.081637,144.26061,2.0,1.0,0,$200,House,July 2008,3451,2008,7,CHEWTON,200
197,"7 ERNEST STREET, CHILDERS",-25.234804,152.281555,3.0,1.0,1,$280_pw,House,December 2008,3824,2008,12,CHILDERS,280
199,"17 HINKLER STREET, CHILDERS",-38.2970543,146.1086067,3.0,1.0,1,$250_pw,House,September 2008,3824,2008,9,CHILDERS,250
200,"21 CHURCHILL STREET, CHILDERS",-25.23595,152.283737,3.0,1.0,0,$240_pw,House,July 2008,3824,2008,7,CHILDERS,240
201,"107 RANKINS ROAD, CHILDERS",-25.2280669,152.2861776,3.0,1.0,0,$235_pw,Rural,July 2008,3824,2008,7,CHILDERS,235
202,"5 ERNEST STREET, CHILDERS",-25.235014,152.281525,3.0,1.0,2,$250_pw,House,July 2008,3824,2008,7,CHILDERS,250
203,"25 CHURCHILL STREET, CHILDERS",-25.235884,152.283615,3.0,1.0,0,$250_pw,House,June 2008,3824,2008,6,CHILDERS,250
204,"11 WELL LINE STREET, CHILDERS",-25.240752,152.287155,4.0,2.0,2,$300_pw,House,June 2008,3824,2008,6,CHILDERS,300
205,"18 ELIZABETH STREET, CHILDERS",-25.237978,152.282166,4.0,1.0,2,$270_pw,House,June 2008,3824,2008,6,CHILDERS,270
