,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates
0,"7 HOLLY COURT, CAMPBELLFIELD",-37.677009,144.961971,5,2,8,$500 per week,Rental_residential,August 2022
0,"7 HOLLY COURT, CAMPBELLFIELD",-37.677009,144.961971,5,2,8,$500 per week,Rental_residential,August 2022
0,"7 HOLLY COURT, CAMPBELLFIELD",-37.677009,144.961971,5,2,8,$500,Rental_residential,August 2022
0,"7 HOLLY COURT, CAMPBELLFIELD",-37.677009,144.961971,5,2,8,$480 per week,Rental_residential,March 2019
0,"7 HOLLY COURT, CAMPBELLFIELD",-37.677009,144.961971,5,2,8,$480,Rental_residential,March 2019
0,"2/70 MASON STREET, CAMPBELLFIELD",-37.6755356002,144.9663287002,none,none,none,"$48,000 ex GST",none,August 2022
0,"2/70 MASON STREET, CAMPBELLFIELD",-37.6755356002,144.9663287002,none,none,none,"$48,000 ex GST",none,August 2022
0,"39 LAUREL CRESCENT, CAMPBELLFIELD",-37.6740929002,144.9641511002,3,2,2,"$460 - $2,000 pw",House,August 2022
0,"39 LAUREL CRESCENT, CAMPBELLFIELD",-37.6740929002,144.9641511002,3,2,2,"$460 - $2,000 pw",House,August 2022
0,"12/1657-1659 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$250 pw,none,August 2022
0,"12/1657-1659 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$250 pw,none,August 2022
0,"12/1657-1659 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$250 per week,none,May 2021
0,"12/1657-1659 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$250,none,May 2021
0,"12/1657-1659 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$185 per week,none,February 2013
0,"54 SYCAMORE CRESCENT, CAMPBELLFIELD",-37.6738450,144.9625570,3,1,1,$380 per week,House,August 2022
0,"54 SYCAMORE CRESCENT, CAMPBELLFIELD",-37.6738450,144.9625570,3,1,1,$380 per week,House,August 2022
0,"54 SYCAMORE CRESCENT, CAMPBELLFIELD",-37.6738450,144.9625570,3,1,1,$380 per week,House,November 2021
0,"54 SYCAMORE CRESCENT, CAMPBELLFIELD",-37.6738450,144.9625570,3,1,1,$320 per week,House,July 2016
0,"54 SYCAMORE CRESCENT, CAMPBELLFIELD",-37.6738450,144.9625570,3,1,1,$285 per week,House,August 2013
0,"15A BAMBURY COURT, CAMPBELLFIELD, CAMPBELLFIELD",-37.68073001,144.97042001,4,2,2,$420 pw,none,August 2022
0,"15A BAMBURY COURT, CAMPBELLFIELD, CAMPBELLFIELD",-37.68073001,144.97042001,4,2,2,$420 pw,none,August 2022
0,"15A BAMBURY COURT, CAMPBELLFIELD",-37.68073001,144.97042001,4,2,2,$420,Available Now,August 2022
0,"15A BAMBURY COURT, CAMPBELLFIELD",-37.68073001,144.97042001,4,2,2,$420,Available Now,August 2022
0,"2/64 STEWART GROVE, CAMPBELLFIELD",-37.6693345002,144.9512401002,3,1,1,"$380 - $1,651 pw",Villa,August 2022
0,"2/64 STEWART GROVE, CAMPBELLFIELD",-37.6693345002,144.9512401002,3,1,1,"$380 - $1,651 pw",Villa,August 2022
0,"22 SAMUEL DRIVE, CAMPBELLFIELD",-37.67504001,144.97074001,3,1,5,"$450 - $1,955 pw",House,August 2022
0,"22 SAMUEL DRIVE, CAMPBELLFIELD",-37.67504001,144.97074001,3,1,5,"$450 - $1,955 pw",House,August 2022
0,"2/64 STEWART GR, CAMPBELLFIELD",-37.6693345002,144.9512401002,3,1,1,"$380 - $1,651 pw",Villa,August 2022
0,"2/64 STEWART GR, CAMPBELLFIELD",-37.6693345002,144.9512401002,3,1,1,"$380 - $1,651 pw",Villa,August 2022
0,"22 SAMUEL DR, CAMPBELLFIELD",-37.67504001,144.97074001,3,1,5,"$450 - $1,955 pw",House,August 2022
0,"22 SAMUEL DR, CAMPBELLFIELD",-37.67504001,144.97074001,3,1,5,"$450 - $1,955 pw",House,August 2022
0,"52/57 MALCOLM PLACE, CAMPBELLFIELD",-37.67236001,144.96825001,none,none,1,"$7,200 pa",Industrial/warehouse,August 2022
0,"52/57 MALCOLM PLACE, CAMPBELLFIELD",-37.67236001,144.96825001,none,none,1,"$7,200 pa",Industrial/warehouse,August 2022
0,"5/1657 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$250 per week,none,July 2022
0,"5/1657 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$250 per week,none,August 2022
0,"5/1657 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$250,none,August 2022
0,"5/1657 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$250 per week,none,May 2021
0,"5/1657 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$230 p.w.,none,October 2017
0,"5/1657 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$210 per week,none,September 2015
0,"5/1657 SYDNEY ROAD, CAMPBELLFIELD",-37.671245,144.954951,1,1,1,$210 pw,none,September 2015
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$340 per week,none,July 2022
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$340 per week,none,August 2022
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$340,none,August 2022
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$340 per week,none,July 2022
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$340 per week,none,June 2022
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$330 per week,none,September 2019
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$330 per week,none,August 2019
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$330 per week,none,September 2017
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$300 pw,none,October 2015
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$295 pw,none,October 2015
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$300 per week,none,March 2015
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$300,none,March 2015
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$330,none,July 2014
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$310 per week,none,June 2014
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$310 pw,none,June 2014
0,"38 MASON STREET, CAMPBELLFIELD",-37.673054,144.966929,3,1,1,$310,none,June 2014
0,"1/1702 SYDNEY ROAD, CAMPBELLFIELD",-37.6753944,144.9563518,4,1,none,$360 pw,House,July 2022
0,"1/1702 SYDNEY ROAD, CAMPBELLFIELD",-37.6753944,144.9563518,4,1,none,$360 pw,House,August 2022
0,"1/1702 SYDNEY ROAD, CAMPBELLFIELD",-37.6753944,144.9563518,4,1,none,$360,House,August 2022
0,"1/1702 SYDNEY ROAD, CAMPBELLFIELD",-37.6753944,144.9563518,4,1,none,$360 pw,House,July 2022
0,"1/1702 SYDNEY ROAD, CAMPBELLFIELD",-37.6753944,144.9563518,4,1,none,$360 pw,House,March 2022
0,"1/1702 SYDNEY ROAD, CAMPBELLFIELD",-37.6753944,144.9563518,4,1,none,$360 Wk,House,February 2017
0,"1/1702 SYDNEY RD, CAMPBELLFIELD",-37.6753944,144.9563518,4,1,none,$360 pw,House,July 2022
0,"1/1702 SYDNEY RD, CAMPBELLFIELD",-37.6753944,144.9563518,4,1,none,$360 pw,House,August 2022
0,"1/1702 SYDNEY RD, CAMPBELLFIELD",-37.6753944,144.9563518,4,1,none,$360 Wk,House,May 2018
0,"18 OBERON BOULEVARD, CAMPBELLFIELD",-37.680075,144.968373,3,1,1,$410,Rental_residential,July 2022
0,"18 OBERON BOULEVARD, CAMPBELLFIELD",-37.680075,144.968373,3,1,1,$410,Rental_residential,August 2022
0,"18 OBERON BOULEVARD, CAMPBELLFIELD",-37.680075,144.968373,3,1,1,$390,Rental_residential,February 2018
0,"12/13 CHURCH STREET, CAMPBELLFIELD",-37.6758990,144.9589860,1,1,none,$245,Unit/apmt,July 2022
0,"12/13 CHURCH STREET, CAMPBELLFIELD",-37.6758990,144.9589860,1,1,none,$245,Unit/apmt,July 2022
0,"12/13 CHURCH STREET, CAMPBELLFIELD",-37.6758990,144.9589860,1,1,none,$245,Unit/apmt,February 2021
0,"12/13 CHURCH STREET, CAMPBELLFIELD",-37.6758990,144.9589860,1,1,none,$245 - $245,Unit/apmt,September 2019
0,"12/13 CHURCH STREET, CAMPBELLFIELD",-37.6758990,144.9589860,1,1,none,$245,Unit/apmt,August 2019
0,"12/13 CHURCH STREET, CAMPBELLFIELD",-37.6758990,144.9589860,1,1,none,$220,Unit/apmt,January 2017
0,"12/13 CHURCH STREET, CAMPBELLFIELD",-37.6758990,144.9589860,1,1,none,$220 per week,Unit/apmt,January 2017
0,"12/13 CHURCH STREET, CAMPBELLFIELD",-37.6758990,144.9589860,1,1,none,$220 pw,Unit/apmt,January 2017
0,"12/13 CHURCH STREET, CAMPBELLFIELD",-37.6758990,144.9589860,1,1,none,$185 p.w.,Unit/apmt,February 2011
0,"5 MIMOSA AVENUE, CAMPBELLFIELD",-37.675258,144.964434,3,1,1,$420,House,July 2022
0,"5 MIMOSA AVENUE, CAMPBELLFIELD",-37.675258,144.964434,3,1,1,$420,House,July 2022
0,"5 MIMOSA AVENUE, CAMPBELLFIELD",-37.675258,144.964434,3,1,1,$420,House,May 2022
0,"5 MIMOSA AVENUE, CAMPBELLFIELD",-37.675258,144.964434,3,1,1,$420,House,September 2021
0,"5 MIMOSA AVENUE, CAMPBELLFIELD",-37.675258,144.964434,3,1,1,$420,House,February 2021
0,"5 MIMOSA AVENUE, CAMPBELLFIELD",-37.675258,144.964434,3,1,1,$420 pw,House,September 2020
0,"5 MIMOSA AVENUE, CAMPBELLFIELD",-37.675258,144.964434,3,1,1,$420 - $420,House,October 2019
0,"5 MIMOSA AVENUE, CAMPBELLFIELD",-37.675258,144.964434,3,1,1,$420 per week,House,September 2019
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$380 per week,House,July 2022
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$380 per week,House,July 2022
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$380 per week,House,January 2022
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$380,House,January 2022
0,"43 AUGUSTA AVENUE, CAMPBELLFIELD",-37.6714440,144.9510620,3,1,1,$380 per week,House,December 2021
