,Unnamed: 0,Unnamed: 0.2,Unnamed: 0.1,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type,SA2_CODE
0,0,0,0,"208 MAIN ROAD, CHEWTON",-37.080111,144.261809,3.0,1.0,2,$300_pw,House,November 2013,3451,2013,11,CHEWTON,300,House,202021027
1,1,1,1,"171 MAIN ROAD, CHEWTON",-37.081326,144.259245,3.0,1.0,8,$330_pw,House,September 2013,3451,2013,9,CHEWTON,330,House,202021027
2,2,2,2,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_pw,House,October 2013,3451,2013,10,CHEWTON,270,House,202021027
3,3,3,3,"173 MAIN ROAD, CHEWTON",-37.080952,144.259378,2.0,1.0,0,$270_pw,House,September 2013,3451,2013,9,CHEWTON,270,House,202021027
4,4,4,4,"4 GEORGE STREET, CHEWTON",-37.082086,144.256513,3.0,1.0,2,$350_pw,House,April 2013,3451,2013,4,CHEWTON,350,House,202021027
5,5,5,5,"2/56 ALBERT ROAD, CHILTERN",-36.14908,146.604709,2.0,1.0,1,$185_pw,House,October 2013,3683,2013,10,CHILTERN,185,House,204031070
6,6,6,6,"8 SKERRY STREET, CHILTERN",-36.151158,146.598197,3.0,2.0,2,$280_Weekly,House,July 2013,3683,2013,7,CHILTERN,280,House,204031070
7,7,7,7,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$350_per_week,Rental_residential,February 2013,3116,2013,2,PARK,350,Other,211051275
8,8,8,8,"12-14 CAMPUS GATE, CHIRNSIDE PARK",-37.755523,145.332948,5.0,2.0,2,$390_pw,House,August 2013,3116,2013,8,PARK,390,House,211051275
9,9,9,9,"12-14 CAMPUS GATE, CHIRNSIDE PARK",-37.755523,145.332948,5.0,2.0,2,$390_per_week,House,June 2013,3116,2013,6,PARK,390,House,211051275
10,10,10,10,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$320_pw,House,December 2013,3116,2013,12,PARK,320,House,211051275
