Place_Names,Longitude,Latitude
ALAMEIN PRIMARY SCHOOL,-37.8670699907878,145.08041998846
NUNAWADING PRIMARY SCHOOL,-37.8074699893922,145.166989995968
CRINIGAN ROAD PRIMARY SCHOOL,-38.217899996647,146.417369975229
SPRINGBANK PRIMARY SCHOOL,-37.5320699951401,144.052650002951
WATTLE PARK PRIMARY SCHOOL,-37.8426399858036,145.097370006191
OMEO PRIMARY SCHOOL,-37.100219962739,147.593079972273
Newcombe Park Primary School,-38.1651499943995,144.394959975424
MEADOWBANK PRIMARY SCHOOL,-37.6879000023026,144.929029989192
PLENTY PARKLANDS PRIMARY SCHOOL,-37.6697200043225,145.076939991617
MOUNT PROSPECT PRIMARY SCHOOL,-37.3781799929788,144.018479985459
TIMBARRA PRIMARY SCHOOL,-37.3104000207747,148.039589906549
LYNDALE PRIMARY SCHOOL,-37.9650499989772,145.204649959042
ANGLESEA PRIMARY SCHOOL,-38.3967802604823,144.191839920984
FITZROY PRIMARY SCHOOL,-37.7995999945814,144.981509979002
JELLS PARK PRIMARY SCHOOL,-37.9028399937742,145.192849986972
ANDERSONS CREEK PRIMARY SCHOOL,-37.7482199978425,145.207679985435
KNOWSLEY PRIMARY SCHOOL,-36.822349994755,144.586529984921
KONGWAK PRIMARY SCHOOL,-38.5151100011369,145.712869976375
KOO-WEE-RUP PRIMARY SCHOOL,-38.1956799975622,145.492919976778
GLEN ALVIE PRIMARY SCHOOL,-38.4987399990891,145.64348002358
KOONDROOK PRIMARY SCHOOL,-35.6348699000866,144.1298699979
CLARINDA PRIMARY SCHOOL,-37.9269999887086,145.10291999597
CLAYTON PRIMARY SCHOOL,-37.92456999738,145.127369958978
CLAYTON WEST PRIMARY SCHOOL,-37.9215099909427,145.106809989896
FERNTREE GULLY NORTH PRIMARY SCHOOL,-37.8747899960082,145.29941997155
MELTON WEST PRIMARY SCHOOL,-37.677479994847,144.56748996485
MENTONE PRIMARY SCHOOL,-37.9829499946479,145.067969984922
PAYNESVILLE PRIMARY SCHOOL,-37.911279995532,147.714699990409
PEARCEDALE PRIMARY SCHOOL,-38.2030099973408,145.23196997582
