,address,latitude,longitude,nbed,nbath,ncar,price,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE,residence_type
14,"2794 MCDONALDS TRACK, CHILDERS",-38.30491021,146.12198199,3.0,1.0,4,$280,September 2018,3824,2018,9,CHILDERS,280,205011078,House
15,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$220,December 2018,3683,2018,12,CHILTERN,220,204031070,Apartment
20,"29-31 ALBERT ROAD, CHILTERN",-36.1499141,146.5995142,4.0,2.0,4,$450,December 2018,3683,2018,12,CHILTERN,450,204031070,House
28,"7 SCOTT STREET, CHILTERN",-36.153794,146.592627,2.0,1.0,4,$200_per_week,January 2018,3683,2018,1,CHILTERN,200,204031070,House
30,"1 KIMBERLEY DRIVE, CHIRNSIDE PARK",-37.75733143,145.31101741,2.0,1.0,1,$380_pw,April 2018,3116,2018,4,PARK,380,211051275,Apartment
39,"734 RIDGE ROAD, CHRISTMAS HILLS",-37.658364,145.317834,3.0,1.0,0,$380_per_week,January 2018,3775,2018,1,HILLS,380,209031212,House
41,"511-525 RIDGE ROAD, CHRISTMAS HILLS",-37.6593641,145.3008935,3.0,1.0,0,$390_per_week,May 2018,3775,2018,5,HILLS,390,209031212,House
42,"733 CHUM CREEK ROAD, CHUM CREEK",-37.64491085,145.49757232,3.0,1.0,2,$380_per_week,December 2018,3777,2018,12,CREEK,380,211051276,House
46,"5 INALA CLOSE, CHURCHILL",-38.323757,146.424585,4.0,1.0,0,$225_pw,July 2018,3842,2018,7,CHURCHILL,225,205041094,House
47,"15 CURRINGA COURT, CHURCHILL",-38.319109,146.420642,4.0,2.0,2,$310,February 2018,3842,2018,2,CHURCHILL,310,205041094,House
49,"27 CHURINGA DRIVE, CHURCHILL",-38.3210366,146.4247311,3.0,1.0,1,$280_per_week,January 2018,3842,2018,1,CHURCHILL,280,205041094,House
50,"6370 MIDLAND HIGHWAY, CLARENDON",-37.691946,143.973609,3.0,1.0,6,$430_p.w.,June 2018,3352,2018,6,CLARENDON,430,201021012,House
61,"1 DAVANZO AVENUE, CLARINDA",-37.944349,145.102336,4.0,2.0,2,$550,July 2018,3169,2018,7,CLARINDA,550,212041309,House
62,"1 DAVANZO AVENUE, CLARINDA",-37.944349,145.102336,4.0,2.0,2,$550,January 2018,3169,2018,1,CLARINDA,550,212041309,House
74,"1556 LANCEFIELD ROAD, CLARKEFIELD",-37.5143296,144.7615042,2.0,1.0,2,$300,July 2018,3430,2018,7,CLARKEFIELD,300,210041240,House
78,"1/19 BURNS AVENUE, CLAYTON SOUTH",-37.936444,145.134354,2.0,1.0,1,$300_Week,March 2018,3169,2018,3,SOUTH,300,212041310,Apartment
79,"1/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$355_pw,November 2018,3169,2018,11,SOUTH,355,212041310,Apartment
80,"1/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$355,October 2018,3169,2018,10,SOUTH,355,212041310,Apartment
86,"2C HELENA STREET, CLAYTON SOUTH",-37.932583,145.123881,3.0,2.0,1,$595,December 2018,3169,2018,12,SOUTH,595,212041310,House
87,"8/31-33 FIRST STREET, CLAYTON SOUTH",-37.933051,145.134866,2.0,1.0,1,$300,January 2018,3169,2018,1,SOUTH,300,212041310,Apartment
95,"63 ROSEBANK AVENUE, CLAYTON SOUTH",-37.939755,145.135925,3.0,2.0,2,$520_pw,December 2018,3169,2018,12,SOUTH,520,212041310,House
96,"63 ROSEBANK AVENUE, CLAYTON SOUTH",-37.939755,145.135925,3.0,2.0,2,$520,November 2018,3169,2018,11,SOUTH,520,212041310,House
97,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$350,March 2018,3169,2018,3,SOUTH,350,212041310,Apartment
100,"A202/59 AUTUMN TERRACE, CLAYTON SOUTH",-37.9391661,145.1385972,1.0,1.0,1,$350_per_week,March 2018,3169,2018,3,SOUTH,350,212041310,Apartment
164,"3/21 FRANCIS STREET, CLAYTON",-37.924041,145.121709,2.0,1.0,1,$400,November 2018,3168,2018,11,CLAYTON,400,212051568,Apartment
165,"1/56 PANORAMA STREET, CLAYTON",-37.921779,145.129744,1.0,1.0,1,$210_p.w.,December 2018,3168,2018,12,CLAYTON,210,212051568,Apartment
166,"1/56 PANORAMA STREET, CLAYTON",-37.921779,145.129744,1.0,1.0,1,$200,February 2018,3168,2018,2,CLAYTON,200,212051568,Apartment
