,address,latitude,longitude,nbed,nbath,ncar,price,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE,residence_type
126868,"7 SCOTT STREET, CHILTERN",-36.153794,146.592627,2.0,1.0,4,$200_per_week,August 2016,3683,2016,8,CHILTERN,200,204031070,House
126871,"13 BURKE STREET, CHILTERN",-36.152878,146.607758,2.0,1.0,1,$250_Weekly,July 2016,3683,2016,7,CHILTERN,250,204031070,House
126882,"30 O'SHEAS ROAD, CHRISTMAS HILLS",-37.643953,145.309304,4.0,2.0,1,$600_per_week,November 2016,3775,2016,11,HILLS,600,209031212,House
126883,"30 O'SHEAS ROAD, CHRISTMAS HILLS",-37.643953,145.309304,4.0,2.0,1,$600_per_week,December 2016,3775,2016,12,HILLS,600,209031212,House
126885,"90 WESTERING ROAD, CHRISTMAS HILLS",-37.677565,145.269523,3.0,1.0,0,$550_per_week,August 2016,3775,2016,8,HILLS,550,209031212,House
126889,"731 CHUM CREEK ROAD, CHUM CREEK",-37.64491085,145.49757232,3.0,2.0,0,$385_per_week,December 2016,3777,2016,12,CREEK,385,211051276,House
126893,"5 INALA CLOSE, CHURCHILL",-38.323757,146.424585,4.0,1.0,0,$200_pw,June 2016,3842,2016,6,CHURCHILL,200,205041094,House
126894,"15 CURRINGA COURT, CHURCHILL",-38.319109,146.420642,4.0,2.0,2,$300_per_week,January 2016,3842,2016,1,CHURCHILL,300,205041094,House
126896,"27 CHURINGA DRIVE, CHURCHILL",-38.3210366,146.4247311,3.0,1.0,1,$280_per_week,May 2016,3842,2016,5,CHURCHILL,280,205041094,House
126899,"59 LEONARD CLOSE, CLARINDA",-37.940496,145.106509,5.0,3.0,2,$410_Weekly,May 2016,3169,2016,5,CLARINDA,410,212041309,House
126908,"3/36 DENNIS STREET, CLAYTON NORTH",-37.918364,145.138747,4.0,3.0,0,$680_per_week,October 2016,3168,2016,10,NORTH,680,212051567,House
126909,"1/36 DENNIS STREET, CLAYTON NORTH",-37.918364,145.138747,3.0,3.0,0,$640_per_week,October 2016,3168,2016,10,NORTH,640,212051567,House
126910,"2/36 DENNIS STREET, CLAYTON NORTH",-37.918364,145.138747,3.0,3.0,0,$640_per_week,October 2016,3168,2016,10,NORTH,640,212051567,House
126911,"7 MURDO ROAD, CLAYTON NORTH",-37.917569,145.14094,3.0,1.0,0,$450_per_week,September 2016,3168,2016,9,NORTH,450,212051567,House
126912,"UNIT 3/22 WRIGHT STREET, CLAYTON NORTH",-37.92221,145.124686,2.0,1.0,1,$330_Weekly,April 2016,3168,2016,4,NORTH,330,212051568,Apartment
126914,"1/19 BURNS AVENUE, CLAYTON SOUTH",-37.936444,145.134354,2.0,1.0,1,$300_Week,September 2016,3169,2016,9,SOUTH,300,212041310,Apartment
126915,"3 JORDAN ST, CLAYTON SOUTH",-37.930814,145.116963,3.0,2.0,2,$370_Weekly,December 2016,3169,2016,12,SOUTH,370,212041310,House
