,address,latitude,longitude,nbed,nbath,ncar,price,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE,residence_type
114358,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$190_pw,March 2014,3683,2014,3,CHILTERN,190,204031070,Apartment
114362,"7 SCOTT STREET, CHILTERN",-36.153794,146.592627,2.0,1.0,4,$200_p.w.,May 2014,3683,2014,5,CHILTERN,200,204031070,House
114363,"222 TOOMEYS LANE, CHINTIN",-37.363602,144.839603,3.0,1.0,2,$550,May 2014,3756,2014,5,CHINTIN,550,210021235,House
114364,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$370_per_week,April 2014,3116,2014,4,PARK,370,211051275,House
114380,"15 CURRINGA COURT, CHURCHILL",-38.319109,146.420642,4.0,2.0,2,$300_pw,January 2014,3842,2014,1,CHURCHILL,300,205041094,House
114382,"48 MCDONALD WAY, CHURCHILL",-38.312359,146.412762,3.0,1.0,1,$190_pw,May 2014,3842,2014,5,CHURCHILL,190,205041094,House
114383,"48 MCDONALD WAY, CHURCHILL",-38.312359,146.412762,3.0,1.0,1,$190_pw,March 2014,3842,2014,3,CHURCHILL,190,205041094,House
114384,"15 MIMOSA CRESCENT, CHURCHILL",-38.303715,146.418558,3.0,1.0,2,$200,April 2014,3842,2014,4,CHURCHILL,200,205041094,House
114385,"15 MIMOSA CRESCENT, CHURCHILL",-38.303715,146.418558,3.0,1.0,2,$210_per_week,March 2014,3842,2014,3,CHURCHILL,210,205041094,House
114386,"31 DAVANZO AVENUE, CLARINDA",-37.944702,145.105229,3.0,1.0,2,$400,May 2014,3169,2014,5,CLARINDA,400,212041309,House
114394,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$320_per_week,November 2014,3169,2014,11,SOUTH,320,212041310,House
114395,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$320_per_week,September 2014,3169,2014,9,SOUTH,320,212041310,House
114402,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$310_p.w.,April 2014,3169,2014,4,SOUTH,310,212041310,Apartment
114404,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2.0,1.0,1,$305_pw,March 2014,3169,2014,3,SOUTH,305,212041310,Apartment
114436,"9/34 WELLINGTON ROAD, CLAYTON",-37.915995,145.133951,1.0,1.0,1,$245,March 2014,3168,2014,3,CLAYTON,245,212051567,Apartment
114438,"10/10 ARNOTT STREET, CLAYTON",-37.9169379,145.1348441,2.0,1.0,1,$341_pw,August 2014,3168,2014,8,CLAYTON,341,212051567,Apartment
114439,"10/10 ARNOTT STREET, CLAYTON",-37.9169379,145.1348441,2.0,1.0,1,$340_pw,August 2014,3168,2014,8,CLAYTON,340,212051567,Apartment
114440,"220/1457 NORTH ROAD, CLAYTON",-37.913578,145.124129,1.0,1.0,0,$240_per_week,December 2014,3168,2014,12,CLAYTON,240,212051567,Apartment
114441,"3/320 HAUGHTON ROAD, CLAYTON",-37.919046,145.111712,2.0,1.0,2,$350_per_week,March 2014,3168,2014,3,CLAYTON,350,212051568,Apartment
114442,"56 WELLINGTON ROAD, CLAYTON",-37.916257,145.136055,3.0,1.0,4,$365_pw,May 2014,3168,2014,5,CLAYTON,365,212051567,House
114444,"6 BANKSIA STREET, CLAYTON",-37.914523,145.119282,3.0,1.0,2,$385_per_week,February 2014,3168,2014,2,CLAYTON,385,212051568,House
114445,"6 BANKSIA STREET, CLAYTON",-37.914523,145.119282,3.0,1.0,2,$385_per_week,January 2014,3168,2014,1,CLAYTON,385,212051568,House
114456,"1/12 MADELEINE ROAD, CLAYTON",-37.915266,145.120158,3.0,1.0,1,$435_Weekly,February 2014,3168,2014,2,CLAYTON,435,212051568,House
114460,"29 FENWICK STREET, CLIFTON HILL",-37.789226,144.999862,2.0,1.0,0,$490_per_week,September 2014,3068,2014,9,HILL,490,206071145,Apartment
