,address,latitude,longitude,nbed,nbath,ncar,price,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE,residence_type
141968,"2/20 NICKLESS STREET, CHILTERN",-36.154038,146.602977,2.0,1.0,2,$220_pw,January 2019,3683,2019,1,CHILTERN,220,204031070,House
141976,"197 NORTH ROAD, CHILTERN",-36.14561001,146.60071001,3.0,2.0,2,$360_per_week,October 2019,3683,2019,10,CHILTERN,360,204031070,House
141977,"197 NORTH ROAD, CHILTERN",-36.14561001,146.60071001,3.0,2.0,2,$380,September 2019,3683,2019,9,CHILTERN,380,204031070,House
141978,"3 DICKSON CT, CHILTERN",-36.153651,146.6017,5.0,1.0,0,$260_per_week,October 2019,3683,2019,10,CHILTERN,260,204031070,House
141983,"29-31 ALBERT ROAD, CHILTERN",-36.1499141,146.5995142,4.0,2.0,4,$450,January 2019,3683,2019,1,CHILTERN,450,204031070,House
141984,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$450_per_week,August 2019,3116,2019,8,PARK,450,211051275,House
141985,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$450,July 2019,3116,2019,7,PARK,450,211051275,House
141997,"3/9 EL CENTRO, CHIRNSIDE PARK",-37.755462,145.312761,2.0,1.0,1,$370_p.w.,June 2019,3116,2019,6,PARK,370,211051275,Apartment
141998,"3/9 EL CENTRO, CHIRNSIDE PARK",-37.755462,145.312761,2.0,1.0,1,$370,May 2019,3116,2019,5,PARK,370,211051275,House
142009,"734 RIDGE ROAD, CHRISTMAS HILLS",-37.658364,145.317834,3.0,1.0,0,$410_per_week,September 2019,3775,2019,9,HILLS,410,209031212,House
142015,"5 INALA CLOSE, CHURCHILL",-38.323757,146.424585,4.0,1.0,0,$235_-_$235,October 2019,3842,2019,10,CHURCHILL,235,205041094,House
142020,"27 CHURINGA DRIVE, CHURCHILL",-38.3210366,146.4247311,3.0,1.0,1,$280_per_week,November 2019,3842,2019,11,CHURCHILL,280,205041094,House
142021,"31 DAVANZO AVENUE, CLARINDA",-37.944702,145.105229,3.0,1.0,2,$425,January 2019,3169,2019,1,CLARINDA,425,212041309,House
142030,"24 MELALEUCA DRIVE, CLARINDA",-37.928898,145.106522,3.0,2.0,2,$510,October 2019,3169,2019,10,CLARINDA,510,212041309,House
142031,"24 MELALEUCA DRIVE, CLARINDA",-37.928898,145.106522,3.0,2.0,2,$510,September 2019,3169,2019,9,CLARINDA,510,212041309,House
142032,"24 MELALEUCA DRIVE, CLARINDA",-37.928898,145.106522,3.0,2.0,2,$510_per_week,April 2019,3169,2019,4,CLARINDA,510,212041309,House
142034,"HOUSE 1/892 HEATHS LANE, CLARKEFIELD",-37.45872002,144.7893222002,4.0,3.0,2,$480_-_$480,November 2019,3430,2019,11,CLARKEFIELD,480,210021235,House
142036,"2/108 CLAYTON ROAD, CLAYTON NORTH",-37.90753001,145.12337001,2.0,2.0,2,$540,June 2019,3168,2019,6,NORTH,540,212051567,House
142039,"2/23 MERLYN AVENUE, CLAYTON SOUTH",-37.935694,145.117386,2.0,1.0,1,$350,August 2019,3169,2019,8,SOUTH,350,212041310,Apartment
142043,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$350,August 2019,3169,2019,8,SOUTH,350,212041310,House
142044,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$350,July 2019,3169,2019,7,SOUTH,350,212041310,House
142045,"1 GAYLE COURT, CLAYTON SOUTH",-37.957438,145.133572,3.0,1.0,2,$350,June 2019,3169,2019,6,SOUTH,350,212041310,House
142048,"307/18 LOMANDRA DRIVE, CLAYTON SOUTH",-37.9307171002,145.1269031002,2.0,2.0,1,$465_p.w.,September 2019,3169,2019,9,SOUTH,465,212041310,House
