,address,latitude,longitude,nbed,nbath,ncar,price,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE,residence_type
163518,"4 GLENDALE DRIVE, CHIRNSIDE PARK",-37.751383,145.312411,4.0,2.0,2,$350_per_week,February 2013,3116,2013,2,PARK,350,211051275,House
163526,"5 NICHOLLS ROAD, CHUM CREEK",-37.6389688,145.4977567,3.0,1.0,2,$340_pw,August 2013,3777,2013,8,CREEK,340,211051276,House
163528,"15 CURRINGA COURT, CHURCHILL",-38.319109,146.420642,4.0,2.0,2,$300_per_week,December 2013,3842,2013,12,CHURCHILL,300,205041094,House
163530,"5 AMAROO DRIVE, CHURCHILL",-38.323465,146.422057,3.0,1.0,1,$150_pw,March 2013,3842,2013,3,CHURCHILL,150,205041094,House
163532,"48 MCDONALD WAY, CHURCHILL",-38.312359,146.412762,3.0,1.0,1,$195_pw,January 2013,3842,2013,1,CHURCHILL,195,205041094,House
163538,"4/29 THE PARADE, CLARINDA",-37.929939,145.103692,2.0,1.0,1,$280_Weekly,February 2013,3169,2013,2,CLARINDA,280,212041309,Apartment
163541,"2/64 WELLINGTON ROAD, CLAYTON NORTH",-37.91636,145.136891,2.0,1.0,1,$280_Weekly,April 2013,3168,2013,4,NORTH,280,212051567,Apartment
163542,"59 MARSHALL AVENUE, CLAYTON NORTH",-37.91192,145.126379,3.0,1.0,0,$370_Weekly,February 2013,3168,2013,2,NORTH,370,212051567,House
163543,"59 MARSHALL AVENUE, CLAYTON NORTH",-37.91192,145.126379,3.0,1.0,0,$370_Weekly,March 2013,3168,2013,3,NORTH,370,212051567,House
163544,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$310_per_week,March 2013,3169,2013,3,SOUTH,310,212041310,Apartment
163545,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$310_per_week,January 2013,3169,2013,1,SOUTH,310,212041310,Apartment
163547,"A202/59 AUTUMN TERRACE, CLAYTON SOUTH",-37.9391661,145.1385972,1.0,1.0,1,$320_pw,August 2013,3169,2013,8,SOUTH,320,212041310,Apartment
163548,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2.0,1.0,1,$305_p.w.,September 2013,3169,2013,9,SOUTH,305,212041310,Apartment
163573,"1/5 BROWNS ROAD, CLAYTON",-37.917169,145.128252,6.0,3.0,0,$150_per_week,January 2013,3168,2013,1,CLAYTON,150,212051568,House
163575,"9/34 WELLINGTON ROAD, CLAYTON",-37.915995,145.133951,1.0,1.0,1,$215,January 2013,3168,2013,1,CLAYTON,215,212051567,Apartment
163577,"9 SHADY MEWS, CLAYTON",-37.922424,145.12782,2.0,1.0,2,$370_p.w.,April 2013,3168,2013,4,CLAYTON,370,212051568,Apartment
163583,"10/10 ARNOTT STREET, CLAYTON",-37.9169379,145.1348441,2.0,1.0,1,$341_pw,August 2013,3168,2013,8,CLAYTON,341,212051567,Apartment
163584,"10/10 ARNOTT STREET, CLAYTON",-37.9169379,145.1348441,2.0,1.0,1,$340_pw,July 2013,3168,2013,7,CLAYTON,340,212051567,Apartment
163585,"220/1457 NORTH ROAD, CLAYTON",-37.913578,145.124129,1.0,1.0,0,$230_per_week,December 2013,3168,2013,12,CLAYTON,230,212051567,Apartment
163605,"1/12 MADELEINE ROAD, CLAYTON",-37.915266,145.120158,3.0,1.0,1,$435_per_week,June 2013,3168,2013,6,CLAYTON,435,212051568,House
163606,"1/12 MADELEINE ROAD, CLAYTON",-37.915266,145.120158,3.0,1.0,1,$435_per_week,March 2013,3168,2013,3,CLAYTON,435,212051568,House
163607,"10 VICTOR ROAD, CLEMATIS",-37.929733,145.419864,5.0,2.0,0,$410_per_week,May 2013,3782,2013,5,CLEMATIS,410,212011289,House
163608,"6 VICTOR ROAD, CLEMATIS",-37.929987,145.420214,2.0,1.0,1,$300_Weekly,August 2013,3782,2013,8,CLEMATIS,300,212011289,Apartment
163611,"6/21 WALKER STREET, CLIFTON HILL",-37.788514,145.001566,3.0,1.0,1,$490_pw,January 2013,3068,2013,1,HILL,490,206071145,House
163612,"2/262 ALEXANDRA PARADE EAST, CLIFTON HILL",-37.7949421,144.9976199,1.0,1.0,1,$340_per_week,July 2013,3068,2013,7,HILL,340,206071145,Apartment
163613,"2/262 ALEXANDRA PARADE EAST, CLIFTON HILL",-37.7949421,144.9976199,1.0,1.0,1,$380_per_week,May 2013,3068,2013,5,HILL,380,206071145,Apartment
163614,"29 FENWICK STREET, CLIFTON HILL",-37.789226,144.999862,2.0,1.0,0,$460_per_week,August 2013,3068,2013,8,HILL,460,206071145,Apartment
163615,"650 SMITH STREET, CLIFTON HILL",-37.79212,144.985634,3.0,2.0,1,$760_per_week,May 2013,3068,2013,5,HILL,760,206071145,House
163616,"650 SMITH STREET, CLIFTON HILL",-37.79212,144.985634,3.0,2.0,1,$795_per_week,April 2013,3068,2013,4,HILL,795,206071145,House
163617,"650 SMITH STREET, CLIFTON HILL",-37.79212,144.985634,3.0,2.0,1,$890_per_week,March 2013,3068,2013,3,HILL,890,206071145,House
163618,"650 SMITH STREET, CLIFTON HILL",-37.79212,144.985634,3.0,2.0,1,$890_per_week,February 2013,3068,2013,2,HILL,890,206071145,House
163619,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1.0,1.0,1,$280_pw,December 2013,3068,2013,12,HILL,280,206071145,Apartment
163620,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1.0,1.0,1,$280_pw,November 2013,3068,2013,11,HILL,280,206071145,Apartment
163622,"5/200 NOONE STREET, CLIFTON HILL",-37.793351,144.98911,2.0,2.0,1,$600_pw,March 2013,3068,2013,3,HILL,600,206071145,House
163623,"18 OGRADY STREET, CLIFTON HILL",-37.787047,144.998269,2.0,2.0,1,$570,June 2013,3068,2013,6,HILL,570,206071145,House
163625,"11 DALLY STREET, CLIFTON HILL",-37.792519,144.999611,2.0,1.0,0,$500_per_week,May 2013,3068,2013,5,HILL,500,206071145,Apartment
163626,"11 DALLY STREET, CLIFTON HILL",-37.792519,144.999611,2.0,1.0,0,$500_per_week,April 2013,3068,2013,4,HILL,500,206071145,Apartment
163627,"4/37 YAMBLA STREET, CLIFTON HILL",-37.7914456,145.0009828,2.0,1.0,2,$350_per_week,December 2013,3068,2013,12,HILL,350,206071145,Apartment
163628,"4/37 YAMBLA STREET, CLIFTON HILL",-37.7914456,145.0009828,2.0,1.0,2,$380_per_week,November 2013,3068,2013,11,HILL,380,206071145,Apartment
163629,"53 DWYER STREET, CLIFTON HILL",-37.785982,145.001994,2.0,1.0,0,$545_pw,February 2013,3068,2013,2,HILL,545,206071145,Apartment
163633,"16 COUNCIL STREET, CLIFTON HILL",-37.792331,144.986235,2.0,2.0,0,$595_Weekly,September 2013,3068,2013,9,HILL,595,206071145,House
163634,"16 COUNCIL STREET, CLIFTON HILL",-37.792331,144.986235,2.0,2.0,0,$560_pw,August 2013,3068,2013,8,HILL,560,206071145,House
163635,"22 GROOM STREET, CLIFTON HILL",-37.793529,144.997952,2.0,2.0,1,$420_per_week,November 2013,3068,2013,11,HILL,420,206071145,House
163637,"10 ANDERSON ST, CLIFTON HILL",-37.792765,144.993104,2.0,1.0,1,$500_p.w.,November 2013,3068,2013,11,HILL,500,206071145,Apartment
163638,"10 ANDERSON STREET, CLIFTON HILL",-37.792946,144.993254,2.0,1.0,1,$500_pw,November 2013,3068,2013,11,HILL,500,206071145,Apartment
163639,"57 DALLY STREET, CLIFTON HILL",-37.792276,144.997986,2.0,1.0,1,$555_pw,May 2013,3068,2013,5,HILL,555,206071145,Apartment
163640,"30 WRIGHT STREET, CLIFTON HILL",-37.78906,145.00174,2.0,1.0,1,$540_pw,September 2013,3068,2013,9,HILL,540,206071145,Apartment
163641,"8 RUTLAND STREET, CLIFTON HILL",-37.794571,144.99622,2.0,1.0,0,$435_pw,May 2013,3068,2013,5,HILL,435,206071145,Apartment
163642,"8 RUTLAND STREET, CLIFTON HILL",-37.794571,144.99622,2.0,1.0,0,$435_pw,April 2013,3068,2013,4,HILL,435,206071145,Apartment
163643,"6/77 FIELD STREET, CLIFTON HILL",-37.7923464,145.0022251,3.0,2.0,1,$700_per_week,March 2013,3068,2013,3,HILL,700,206071145,House
163644,"3/268 ALEXANDRA PARADE EAST, CLIFTON HILL",-37.7951063,144.9997451,1.0,1.0,1,$350_pw,January 2013,3068,2013,1,HILL,350,206071145,Apartment
