,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry,postcode,suburb
0,18730,134-Merribell Ave/Nicholson St (Coburg),-37.744359,144.977728,1,1,POINT (144.97773390165608 -37.74434586797992),3058,COBURG
1,18732,44-Deepdene Park/Whitehorse Rd (Balwyn),-37.811375,145.068671,1,109,POINT (145.0686770785946 -37.81136185463405),3103,DEEPDENE
2,18733,45-Hardwicke St/Whitehorse Rd (Balwyn),-37.81175,145.071785,1,109,POINT (145.07179107801323 -37.81173688485068),3103,DEEPDENE
3,18734,46-Balwyn Cinema/Whitehorse Rd (Balwyn),-37.812242,145.07593,1,109,POINT (145.07593575724027 -37.81222882513891),3103,BALWYN
4,18735,47-Balwyn Rd/Whitehorse Rd (Balwyn),-37.812919,145.081524,"1,2",109,POINT (145.08152979619558 -37.81290580552812),3103,BALWYN
5,18736,48-Balwyn Shopping Centre/Whitehorse Rd (Balwyn),-37.813199,145.083788,"1,2",109,POINT (145.08379383577207 -37.81318588568571),3103,BALWYN
6,18737,49-Northcote Ave/Whitehorse Rd (Balwyn),-37.81369,145.087956,"1,2",109,POINT (145.08796191499516 -37.81367683597575),3103,BALWYN
7,18738,51-Narrak Rd/Whitehorse Rd (Mont Albert),-37.814564,145.09517,"1,2",109,POINT (145.09517595364775 -37.814550826478055),3127,SURREY HILLS
8,18781,134-Orrong Rd/Toorak Rd (Toorak),-37.841755,145.014048,1,58,POINT (145.0140539247637 -37.84174180107147),3142,TOORAK
9,18782,135-Woorigoleen Rd/Toorak Rd (Toorak),-37.842166,145.017583,1,58,POINT (145.0175887641046 -37.84215283131639),3142,TOORAK
10,18783,136-Irving Rd/Toorak Rd (Toorak),-37.842461,145.020086,1,58,POINT (145.0200918436375 -37.84244785148988),3142,TOORAK
11,18784,137-Kooyong Rd/Toorak Rd (Toorak),-37.842844,145.023065,1,58,POINT (145.02307084307805 -37.8428308016966),3142,TOORAK
12,18785,138-Moonga Rd/Toorak Rd (Toorak),-37.843231,145.026248,1,58,POINT (145.0262539624827 -37.84321780191736),3142,TOORAK
13,18786,139-Glenbervie Rd/Toorak Rd (Toorak),-37.843615,145.029817,1,58,POINT (145.0298230018206 -37.843601832164644),3142,TOORAK
14,18789,112-Lygon St/Elgin St (Carlton),-37.797113,144.967159,1,"6,1",POINT (144.96716501776277 -37.79709981758457),3053,CARLTON
15,18790,113-Lytton St/Lygon St (Carlton),-37.794127,144.968025,1,"6,1",POINT (144.96803081793675 -37.794113797625236),3053,CARLTON
16,18791,114-Princes St/Lygon St (Carlton North),-37.792689,144.968269,1,"6,1",POINT (144.9682748980505 -37.792675867632994),3053,CARLTON
17,18792,115-Melbourne Cemetery/Lygon St (Carlton North),-37.78958,144.968797,1,"6,1",POINT (144.96880301829646 -37.789566817649835),3054,CARLTON NORTH
18,18793,116-Fenwick St/Lygon St (Carlton North),-37.78737,144.969186,1,"6,1",POINT (144.96919181846891 -37.7873568676627),3054,CARLTON NORTH
19,18794,117-Richardson St/Lygon St (Carlton North),-37.784036,144.969732,1,"6,1",POINT (144.96973793873613 -37.78402281767936),3054,PRINCES HILL
20,18795,118-Pigdon St/Lygon St (Carlton North),-37.781924,144.970074,1,"6,1",POINT (144.97007993890605 -37.78191087768963),3054,PRINCES HILL
21,18899,26-Alfred Hospital/Commercial Rd (South Yarra),-37.845278,144.982225,1,72,POINT (144.98223100991075 -37.84526484891359),3141,SOUTH YARRA
22,18918,27-Punt Rd/Commercial Rd (South Yarra),-37.84563,144.984863,1,72,POINT (144.98486908941385 -37.845616839096316),3141,SOUTH YARRA
23,18923,28-Braille Library/Commercial Rd (South Yarra),-37.845899,144.987413,1,72,POINT (144.98741896894137 -37.84588584927251),3141,SOUTH YARRA
24,18931,29-Porter St/Commercial Rd (South Yarra),-37.846314,144.990583,1,72,POINT (144.9905887683452 -37.84630083949196),3141,SOUTH YARRA
25,18933,30-Prahran Market/Commercial Rd (South Yarra),-37.846541,144.992271,1,72,POINT (144.99227680802704 -37.846527819609065),3141,SOUTH YARRA
26,18934,31-Chapel St/Commercial Rd (South Yarra),-37.84676,144.994015,1,72,POINT (144.99402100769998 -37.84674687972984),3141,SOUTH YARRA
27,18935,32-Surrey Rd/Malvern Rd (South Yarra),-37.847293,144.997807,1,72,POINT (144.9978128869828 -37.84727985999285),3141,SOUTH YARRA
