,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates,postcode
0,"39 MCALPINES ROAD, CARRAJUNG",-38.3965307,146.7447395,3,1,1,$240 pw,Other,September 2017,3844
0,"39 MCALPINES ROAD, CARRAJUNG",-38.3965307,146.7447395,3,1,1,$240 pw,Other,September 2017,3844
0,"39 MCALPINES ROAD, CARRAJUNG",-38.3965307,146.7447395,3,1,1,$240 p.w.,Other,May 2017,3844
0,"39 MCALPINES ROAD, CARRAJUNG",-38.3965307,146.7447395,3,1,1,$240 p.w.,Other,February 2017,3844
0,"39 MCALPINES ROAD, CARRAJUNG",-38.3965307,146.7447395,3,1,1,$240 p.w.,Other,January 2017,3844
0,"3491 HYLAND HIGHWAY, CARRAJUNG",-38.382015,146.758999,2,2,2,$220 p.w.,House,September 2015,3844
0,"3491 HYLAND HIGHWAY, CARRAJUNG",-38.382015,146.758999,2,2,2,$220 p.w.,House,September 2015,3844
0,"68 STITCHLING STREET, CARRAJUNG",-38.3667610,146.7017530,2,1,2,"$235,000",Acreagesemi-rural,November 2013,3844
0,"68 STITCHLING STREET, CARRAJUNG",-38.3667610,146.7017530,2,1,2,"$235,000",Acreagesemi-rural,November 2013,3844
0,"68 STITCHLING STREET, CARRAJUNG",-38.3667610,146.7017530,2,1,2,"$243,000 Offers",Acreagesemi-rural,November 2013,3844
0,"60 STITCHLING STREET, CARRAJUNG",-38.367442,146.701541,3,1,4,"$239,500",Acreagesemi-rural,November 2013,3844
0,"60 STITCHLING STREET, CARRAJUNG",-38.367442,146.701541,3,1,4,"$239,500",Acreagesemi-rural,November 2013,3844
0,"60 STITCHLING STREET, CARRAJUNG",-38.367442,146.701541,3,1,4,$170 per week,Acreagesemi-rural,October 2007,3844
0,"60 STITCHLING STREET, CARRAJUNG",-38.367442,146.701541,3,1,4,$170 pe...,Acreagesemi-rural,October 2007,3844
0,"60 STITCHLING STREET, CARRAJUNG",-38.367442,146.701541,3,1,4,$170,Acreagesemi-rural,September 2007,3844
0,"60 STITCHLING STREET, CARRAJUNG",-38.367442,146.701541,3,1,4,$170 per week,Acreagesemi-rural,May 2007,3844
0,"26 STITCHLING STREET, CARRAJUNG",-38.3703680,146.7006200,2,1,1,"$219,000",Acreagesemi-rural,November 2013,3844
0,"26 STITCHLING STREET, CARRAJUNG",-38.3703680,146.7006200,2,1,1,"$219,000",Acreagesemi-rural,November 2013,3844
0,"316B MILNES ROAD, CARRAJUNG",-38.3566400,146.6657020,2,1,2,"$140,000 Under Contract",Acreagesemi-rural,November 2013,3844
0,"316B MILNES ROAD, CARRAJUNG",-38.3566400,146.6657020,2,1,2,"$140,000 Under Contract",Acreagesemi-rural,November 2013,3844
0,"68 STITCHLING ST, CARRAJUNG",-38.3667610,146.7017530,2,1,2,"$235,000 Priced To Sell",House,November 2013,3844
0,"68 STITCHLING ST, CARRAJUNG",-38.3667610,146.7017530,2,1,2,"$235,000 Priced To Sell",House,November 2013,3844
0,"387 GRAND RIDGE ROAD, CARRAJUNG",-38.3718820,146.6889370,3,1,2,$250 p.w.,none,May 2012,3844
0,"387 GRAND RIDGE ROAD, CARRAJUNG",-38.3718820,146.6889370,3,1,2,$250 p.w.,none,May 2012,3844
0,"387 GRAND RIDGE ROAD, CARRAJUNG",-38.3718820,146.6889370,3,1,2,$250 pw,none,May 2012,3844
0,"387 GRAND RIDGE ROAD, CARRAJUNG",-38.3718820,146.6889370,3,1,2,$280 p.w.,none,March 2012,3844
0,"387 GRAND RIDGE ROAD, CARRAJUNG",-38.3718820,146.6889370,3,1,2,$280 p.w.,none,February 2012,3844
0,"387 GRAND RIDGE ROAD, CARRAJUNG",-38.3718820,146.6889370,3,1,2,$275 per week,none,January 2010,3844
0,"48 STITCHLING STREET, CARRAJUNG",-38.367958,146.701134,4,1,2,$210 per week,none,August 2011,3844
0,"48 STITCHLING STREET, CARRAJUNG",-38.367958,146.701134,4,1,2,$210 per week,none,August 2011,3844
0,"48 STITCHLING STREET, CARRAJUNG",-38.367958,146.701134,4,1,2,$200 per week,none,August 2010,3844
0,"48 STITCHLING STREET, CARRAJUNG",-38.367958,146.701134,4,1,2,Contact,none,July 2008,3844
0,"48 STITCHLING STREET, CARRAJUNG",-38.367958,146.701134,4,1,2,$230,none,July 2008,3844
0,"2/ 18 COOPER STREET, CARRAJUNG",-38.3704332,146.7000266,3,3,2,$525 per week,House,November 2009,3844
0,"2/ 18 COOPER STREET, CARRAJUNG",-38.3704332,146.7000266,3,3,2,$525 per week,House,November 2009,3844
0,"2/ 37 CLEVELAND STREET, CARRAJUNG",-38.3704332,146.7000266,2,1,none,$200 per week,none,November 2009,3844
0,"2/ 37 CLEVELAND STREET, CARRAJUNG",-38.3704332,146.7000266,2,1,none,$200 per week,none,November 2009,3844
0,"1/ 521 LYNE STREET, CARRAJUNG",-38.3704332,146.7000266,2,1,1,$240 per week,Townhouse,November 2009,3844
0,"1/ 521 LYNE STREET, CARRAJUNG",-38.3704332,146.7000266,2,1,1,$240 per week,Townhouse,November 2009,3844
0,"128/ 546 FLINDERS STREET, CARRAJUNG",-38.3809330,144.9262720,1,1,none,$250 per week,Unit/apmt,November 2009,3844
0,"128/ 546 FLINDERS STREET, CARRAJUNG",-38.3809330,144.9262720,1,1,none,$250 per week,Unit/apmt,November 2009,3844
0,"1510/ 270 KING STREET, CARRAJUNG",-38.3704332,146.7000266,2,1,none,$430 per week,Unit/apmt,November 2009,3844
0,"1510/ 270 KING STREET, CARRAJUNG",-38.3704332,146.7000266,2,1,none,$430 per week,Unit/apmt,November 2009,3844
0,"10/ 634 LOMA PLACE, CARRAJUNG",-38.3704332,146.7000266,2,1,none,$205 per week,Unit/apmt,November 2009,3844
0,"10/ 634 LOMA PLACE, CARRAJUNG",-38.3704332,146.7000266,2,1,none,$205 per week,Unit/apmt,November 2009,3844
0,"1/ 498 MURPHY STREET, CARRAJUNG",-38.3704332,146.7000266,2,1,1,$150 per week,Unit/apmt,November 2009,3844
0,"1/ 498 MURPHY STREET, CARRAJUNG",-38.3704332,146.7000266,2,1,1,$150 per week,Unit/apmt,November 2009,3844
0,"80 CAMPBELL STREET, CARRAJUNG",-38.3704332,146.7000266,3,1,none,$230 p.w.,House,October 2009,3844
0,"80 CAMPBELL STREET, CARRAJUNG",-38.3704332,146.7000266,3,1,none,$230 p.w.,House,October 2009,3844
0,"15/15 BALMAIN DRIVE, CARRUM DOWNS",-38.106401,145.167936,3,1,2,$430 pw,Unit/apmt,September 2022,3201
0,"15/15 BALMAIN DRIVE, CARRUM DOWNS",-38.106401,145.167936,3,1,2,$430 pw,Unit/apmt,September 2022,3201
0,"15/15 BALMAIN DRIVE, CARRUM DOWNS",-38.106401,145.167936,3,1,2,$430 pw,Unit/apmt,August 2022,3201
0,"15/15 BALMAIN DRIVE, CARRUM DOWNS",-38.106401,145.167936,3,1,2,$310 per week,Unit/apmt,March 2012,3201
0,"15/15 BALMAIN DRIVE, CARRUM DOWNS",-38.106401,145.167936,3,1,2,$310,Unit/apmt,March 2012,3201
0,"15/15 BALMAIN DRIVE, CARRUM DOWNS",-38.106401,145.167936,3,1,2,$310 p.w.,Unit/apmt,March 2012,3201
0,"15/15 BALMAIN DRIVE, CARRUM DOWNS",-38.106401,145.167936,3,1,2,$310 pw,Unit/apmt,February 2012,3201
0,"15/15 BALMAIN DRIVE, CARRUM DOWNS",-38.106401,145.167936,3,1,2,$225 pw,Unit/apmt,August 2007,3201
0,"15/15 BALMAIN DRIVE, CARRUM DOWNS",-38.106401,145.167936,3,1,2,$225 p.w.,Unit/apmt,August 2007,3201
0,"15/15 BALMAIN DRIVE, CARRUM DOWNS",-38.106401,145.167936,3,1,2,$225,Unit/apmt,July 2007,3201
0,"525 FRANKSTON-DANDENONG RD, CARRUM DOWNS",-38.0722361002,145.1945533002,4,3,4,$520 per week,House,September 2022,3201
0,"525 FRANKSTON-DANDENONG RD, CARRUM DOWNS",-38.0722361002,145.1945533002,4,3,4,$520 per week,House,September 2022,3201
0,"89 GAMBLE ROAD, CARRUM DOWNS",-38.11296200,145.19289900,3,2,2,$500 per week,House,September 2022,3201
0,"89 GAMBLE ROAD, CARRUM DOWNS",-38.11296200,145.19289900,3,2,2,$500 per week,House,September 2022,3201
0,"89 GAMBLE ROAD, CARRUM DOWNS",-38.11296200,145.19289900,3,2,2,$500,House,September 2022,3201
0,"89 GAMBLE ROAD, CARRUM DOWNS",-38.11296200,145.19289900,3,2,2,$350,House,May 2018,3201
0,"525 FRANKSTON-DANDENONG ROAD, CARRUM DOWNS",-38.1125889002,145.1576495002,4,3,4,$520,Rental_residential,September 2022,3201
0,"525 FRANKSTON-DANDENONG ROAD, CARRUM DOWNS",-38.1125889002,145.1576495002,4,3,4,$520,Rental_residential,September 2022,3201
0,"525 FRANKSTON-DANDENONG ROAD, CARRUM DOWNS",-38.1125889002,145.1576495002,4,3,4,$520 per week,Rental_residential,August 2022,3201
0,"2/5, 3/5, 4/5 HILLVIEW DRIVE, CARRUM DOWNS",-38.09529001,145.19092001,2,2,2,$475,Rental_residential,September 2022,3201
0,"2/5, 3/5, 4/5 HILLVIEW DRIVE, CARRUM DOWNS",-38.09529001,145.19092001,2,2,2,$475,Rental_residential,September 2022,3201
0,"1 LUSCOMBE AVENUE, CARRUM DOWNS",-38.093354,145.178367,3,1,2,$360,House,September 2022,3201
0,"1 LUSCOMBE AVENUE, CARRUM DOWNS",-38.093354,145.178367,3,1,2,$360,House,September 2022,3201
0,"1 LUSCOMBE AVENUE, CARRUM DOWNS",-38.093354,145.178367,3,1,2,$360,House,November 2019,3201
0,"1 LUSCOMBE AVENUE, CARRUM DOWNS",-38.093354,145.178367,3,1,2,$360,House,May 2018,3201
0,"1 LUSCOMBE AVENUE, CARRUM DOWNS",-38.093354,145.178367,3,1,2,$360 pw,House,May 2018,3201
0,"1 LUSCOMBE AVENUE, CARRUM DOWNS",-38.093354,145.178367,3,1,2,$360,House,April 2018,3201
0,"1 LUSCOMBE AVENUE, CARRUM DOWNS",-38.093354,145.178367,3,1,2,$270 per week,House,May 2013,3201
0,"1 LUSCOMBE AVENUE, CARRUM DOWNS",-38.093354,145.178367,3,1,2,$270 p.w.,House,May 2013,3201
0,"1 LUSCOMBE AVENUE, CARRUM DOWNS",-38.093354,145.178367,3,1,2,$270 pw,House,May 2013,3201
0,"1 LUSCOMBE AVENUE, CARRUM DOWNS",-38.093354,145.178367,3,1,2,$270,House,May 2013,3201
0,"4 PROTEA STREET, CARRUM DOWNS",-38.0986170,145.1854960,3,2,2,$415,House,September 2022,3201
0,"4 PROTEA STREET, CARRUM DOWNS",-38.0986170,145.1854960,3,2,2,$415,House,September 2022,3201
0,"4 PROTEA STREET, CARRUM DOWNS",-38.0986170,145.1854960,3,2,2,$415,House,November 2019,3201
0,"4 PROTEA STREET, CARRUM DOWNS",-38.0986170,145.1854960,3,2,2,$390,House,June 2019,3201
0,"4 PROTEA STREET, CARRUM DOWNS",-38.0986170,145.1854960,3,2,2,$415,House,May 2019,3201
0,"4 PROTEA STREET, CARRUM DOWNS",-38.0986170,145.1854960,3,2,2,$415 Weekly,House,May 2019,3201
0,"4 PROTEA STREET, CARRUM DOWNS",-38.0986170,145.1854960,3,2,2,$415 p.w.,House,May 2019,3201
0,"4 PROTEA STREET, CARRUM DOWNS",-38.0986170,145.1854960,3,2,2,$415 pw,House,May 2019,3201
0,"4 PROTEA STREET, CARRUM DOWNS",-38.0986170,145.1854960,3,2,2,$400,House,May 2018,3201
0,"4 PROTEA STREET, CARRUM DOWNS",-38.0986170,145.1854960,3,2,2,$400 pw,House,May 2018,3201
