,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates,postcode
0,"3/39 OVENS CIRCUIT, WHITTLESEA",-37.50501,145.114205,1,1,1,$300 per week,House,August 2022,3757
0,"3/39 OVENS CIRCUIT, WHITTLESEA",-37.50501,145.114205,1,1,1,$300 per week,House,August 2022,3757
0,"3/39 OVENS CIRCUIT, WHITTLESEA",-37.50501,145.114205,1,1,1,$240,House,March 2014,3757
0,"3/39 OVENS CIRCUIT, WHITTLESEA",-37.50501,145.114205,1,1,1,$240 Weekly,House,March 2014,3757
0,"3/39 OVENS CIRCUIT, WHITTLESEA",-37.50501,145.114205,1,1,1,$240 p.w.,House,March 2014,3757
0,"3/39 OVENS CIRCUIT, WHITTLESEA",-37.50501,145.114205,1,1,1,$240 pw,House,March 2014,3757
0,"6 JAMES ST, WHITTLESEA",-37.5138584002,145.1163921002,3,2,2,$440 per week,House,August 2022,3757
0,"6 JAMES ST, WHITTLESEA",-37.5138584002,145.1163921002,3,2,2,$440 per week,House,August 2022,3757
0,"6 JAMES ST, WHITTLESEA",-37.5138584002,145.1163921002,3,2,2,$440 p.w.,House,August 2022,3757
0,"6 JAMES STREET, WHITTLESEA",-37.5134220,145.1166770,3,2,2,$440,Available Now,August 2022,3757
0,"6 JAMES STREET, WHITTLESEA",-37.5134220,145.1166770,3,2,2,$440,Available Now,August 2022,3757
0,"6 JAMES STREET, WHITTLESEA",-37.5134220,145.1166770,3,2,2,$390 Weekly,Available Now,August 2020,3757
0,"6 JAMES STREET, WHITTLESEA",-37.5134220,145.1166770,3,2,2,$390,Available Now,August 2020,3757
0,"6 JAMES STREET, WHITTLESEA",-37.5134220,145.1166770,3,2,2,$390 p.w.,Available Now,August 2020,3757
0,"47 FIR STREET, WHITTLESEA",-37.510163,145.120266,4,2,2,"$450 - $1,955 pw",House,August 2022,3757
0,"47 FIR STREET, WHITTLESEA",-37.510163,145.120266,4,2,2,"$450 - $1,955 pw",House,August 2022,3757
