,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates,postcode
0,"6/14 CORINELLA ROAD, WOODEND",-37.3600970,144.5245260,3,1,1,$480 per week,Unit/apmt,September 2022,3442
0,"6/14 CORINELLA ROAD, WOODEND",-37.3600970,144.5245260,3,1,1,$480 per week,Unit/apmt,September 2022,3442
0,"6/14 CORINELLA ROAD, WOODEND",-37.3600970,144.5245260,3,1,1,$480,Unit/apmt,September 2022,3442
0,"6/14 CORINELLA ROAD, WOODEND",-37.3600970,144.5245260,3,1,1,$480 per week,Unit/apmt,February 2022,3442
0,"6/14 CORINELLA ROAD, WOODEND",-37.3600970,144.5245260,3,1,1,$480,Unit/apmt,February 2022,3442
0,"6/14 CORINELLA ROAD, WOODEND",-37.3600970,144.5245260,3,1,1,$400 pw,Unit/apmt,March 2019,3442
0,"6/14 CORINELLA ROAD, WOODEND",-37.3600970,144.5245260,3,1,1,$350 per week,Unit/apmt,January 2013,3442
0,"195 BOUNDARY ROAD, WOODEND",-37.35465001,144.55433001,3,2,3,$800,Rental_residential,September 2022,3442
0,"195 BOUNDARY ROAD, WOODEND",-37.35465001,144.55433001,3,2,3,$800,Rental_residential,September 2022,3442
0,"195 BOUNDARY ROAD, WOODEND",-37.35465001,144.55433001,3,2,3,$800 pw,Rental_residential,August 2022,3442
0,"1/40 SOUTH ROAD, WOODEND",-37.37084001,144.53673001,1,1,1,$430,Rental_residential,September 2022,3442
0,"1/40 SOUTH ROAD, WOODEND",-37.37084001,144.53673001,1,1,1,$430,Rental_residential,September 2022,3442
0,"1/40 SOUTH ROAD, WOODEND",-37.37084001,144.53673001,1,1,1,$400,Rental_residential,June 2020,3442
0,"1/40 SOUTH ROAD, WOODEND",-37.37084001,144.53673001,1,1,1,$400 pw,Rental_residential,June 2020,3442
0,"1/40 SOUTH ROAD, WOODEND",-37.37084001,144.53673001,1,1,1,Under Application,Rental_residential,November 2019,3442
0,"1/40 SOUTH ROAD, WOODEND",-37.37084001,144.53673001,1,1,1,$400,Rental_residential,November 2019,3442
0,"10 TIMBER LANE, WOODEND, WOODEND",-37.3650650,144.5187430,4,2,2,$750 per week,House,August 2022,3442
0,"10 TIMBER LANE, WOODEND, WOODEND",-37.3650650,144.5187430,4,2,2,$750 per week,House,August 2022,3442
0,"10 TIMBER LANE, WOODEND",-37.3650650,144.5187430,4,2,2,$750,none,August 2022,3442
0,"10 TIMBER LANE, WOODEND",-37.3650650,144.5187430,4,2,2,$750,none,August 2022,3442
0,"38 WASHINGTON LANE, WOODEND, WOODEND",-37.3668840,144.5308160,4,3,2,$630 per week,House,August 2022,3442
0,"38 WASHINGTON LANE, WOODEND, WOODEND",-37.3668840,144.5308160,4,3,2,$630 per week,House,August 2022,3442
0,"38 WASHINGTON LANE, WOODEND",-37.3668840,144.5308160,4,3,2,$630,none,August 2022,3442
0,"38 WASHINGTON LANE, WOODEND",-37.3668840,144.5308160,4,3,2,$630,none,August 2022,3442
0,"38 WASHINGTON LANE, WOODEND",-37.3668840,144.5308160,4,3,2,Under Application,none,July 2016,3442
0,"38 WASHINGTON LANE, WOODEND",-37.3668840,144.5308160,4,3,2,$370,none,March 2012,3442
0,"38 WASHINGTON LANE, WOODEND",-37.3668840,144.5308160,4,3,2,$370 per week,none,March 2012,3442
0,"38 WASHINGTON LANE, WOODEND",-37.3668840,144.5308160,4,3,2,$370 p.w.,none,March 2012,3442
0,"38 WASHINGTON LANE, WOODEND",-37.3668840,144.5308160,4,3,2,$370 pw,none,March 2012,3442
0,"1/4 LIGAR STREET, WOODEND",-37.36083001,144.53295001,2,2,1,$370 per week,Unit/apmt,August 2022,3442
0,"1/4 LIGAR STREET, WOODEND",-37.36083001,144.53295001,2,2,1,$370 per week,Unit/apmt,August 2022,3442
0,"1/4 LIGAR STREET, WOODEND",-37.36083001,144.53295001,2,2,1,$450 per week,Unit/apmt,August 2022,3442
0,"1/4 LIGAR STREET, WOODEND",-37.36083001,144.53295001,2,2,1,$370,Unit/apmt,August 2022,3442
0,"1/4 LIGAR STREET, WOODEND",-37.36083001,144.53295001,2,2,1,$450,Unit/apmt,August 2022,3442
0,"1/4 LIGAR STREET, WOODEND",-37.36083001,144.53295001,2,2,1,$370 per week,Unit/apmt,July 2020,3442
