,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates,postcode
0,"107 HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.1948779002,145.1931774002,3,1,1,$740 per week,House,July 2022,3911
0,"107 HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.1948779002,145.1931774002,3,1,1,$740 per week,House,July 2022,3911
0,"107 HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.1948779002,145.1931774002,3,1,1,$740 per week,House,June 2022,3911
0,"101 HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.192949,145.198175,4,3,8,$900 per week,House,April 2022,3911
0,"101 HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.192949,145.198175,4,3,8,$900 per week,House,April 2022,3911
0,"101 HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.192949,145.198175,4,3,8,$900,House,April 2022,3911
0,"101 HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.192949,145.198175,4,3,8,$795 per week,House,July 2019,3911
0,"101 HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.192949,145.198175,4,3,8,$795,House,July 2019,3911
0,"101 HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.192949,145.198175,4,3,8,$875,House,February 2018,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,$365 p.w.,House,November 2020,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,$365 p.w.,House,November 2020,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,$355 p.w.,House,May 2018,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,$355,House,May 2018,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,"$345 - $1,499 pw",House,July 2017,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,pw,House,July 2017,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,$345 p.w.,House,July 2016,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,$345 pw,House,July 2016,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,$280,House,March 2011,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,$280 p.w.,House,March 2011,3911
0,"140 BARRETTS ROAD, LANGWARRIN SOUTH",-38.1882700,145.1729540,3,1,3,$280,House,March 2010,3911
0,"504 ROBINSONS ROAD, LANGWARRIN SOUTH",-38.18143001,145.19495001,3,2,4,$750 per week,House,April 2020,3911
0,"504 ROBINSONS ROAD, LANGWARRIN SOUTH",-38.18143001,145.19495001,3,2,4,$750 per week,House,April 2020,3911
0,"104A HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.19279001,145.20139001,3,1,1,$650 Weekly,Acreage/semi-rural,November 2019,3911
0,"104A HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.19279001,145.20139001,3,1,1,$650 Weekly,Acreage/semi-rural,November 2019,3911
0,"104A HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.19279001,145.20139001,3,1,1,$650,Acreage/semi-rural,November 2019,3911
0,"104A HIGHFIELD DRIVE, LANGWARRIN SOUTH",-38.19279001,145.20139001,3,1,1,$650 pw,Acreage/semi-rural,November 2019,3911
0,"85A/NULL NEWTON AVENUE, LANGWARRIN SOUTH",-38.1906151,145.1864902,4,2,none,$460,Rental_residential,September 2018,3911
0,"85A/NULL NEWTON AVENUE, LANGWARRIN SOUTH",-38.1906151,145.1864902,4,2,none,$460,Rental_residential,October 2018,3911
0,"585 BAXTER TOORADIN ROAD, LANGWARRIN SOUTH",-38.200283,145.214027,5,2,4,$750 p.w.,House,July 2018,3911
0,"585 BAXTER TOORADIN ROAD, LANGWARRIN SOUTH",-38.200283,145.214027,5,2,4,$750 p.w.,House,July 2018,3911
0,"585 BAXTER TOORADIN ROAD, LANGWARRIN SOUTH",-38.200283,145.214027,5,2,4,$750,House,July 2018,3911
0,"585 BAXTER TOORADIN ROAD, LANGWARRIN SOUTH",-38.200283,145.214027,5,2,4,$850 p.w.,House,March 2018,3911
0,"585 BAXTER TOORADIN ROAD, LANGWARRIN SOUTH",-38.200283,145.214027,5,2,4,$900 per week,House,November 2017,3911
0,"585 BAXTER TOORADIN ROAD, LANGWARRIN SOUTH",-38.200283,145.214027,5,2,4,"$1,100",House,October 2017,3911
0,"585 BAXTER TOORADIN ROAD, LANGWARRIN SOUTH",-38.200283,145.214027,5,2,4,"$1,100 per week",House,October 2017,3911
0,"585 BAXTER TOORADIN ROAD, LANGWARRIN SOUTH",-38.200283,145.214027,5,2,4,"$1,100 pw",House,October 2017,3911
0,"19 ELM GROVE, LANGWARRIN SOUTH",-38.149405,145.175955,4,3,3,$470 p.w.,House,June 2018,3911
0,"19 ELM GROVE, LANGWARRIN SOUTH",-38.149405,145.175955,4,3,3,$470 p.w.,House,June 2018,3911
0,"19 ELM GROVE, LANGWARRIN SOUTH",-38.149405,145.175955,4,3,3,$470,House,June 2018,3911
0,"22 HUNTLY COURT, LANGWARRIN SOUTH",-38.13899,145.201864,3,2,2,$440 p.w.,House,February 2018,3911
0,"22 HUNTLY COURT, LANGWARRIN SOUTH",-38.13899,145.201864,3,2,2,$440 p.w.,House,February 2018,3911
0,"22 HUNTLY COURT, LANGWARRIN SOUTH",-38.13899,145.201864,3,2,2,$440,House,February 2018,3911
0,"22 HUNTLY COURT, LANGWARRIN SOUTH",-38.13899,145.201864,3,2,2,$440 p.w.,House,January 2018,3911
0,"471 WARRANDYTE ROAD, LANGWARRIN SOUTH",-38.193448,145.182042,4,2,2,$999,House,January 2018,3911
0,"471 WARRANDYTE ROAD, LANGWARRIN SOUTH",-38.193448,145.182042,4,2,2,$999,House,January 2018,3911
0,"471 WARRANDYTE ROAD, LANGWARRIN SOUTH",-38.193448,145.182042,4,2,2,$999 per week,House,November 2017,3911
0,"471 WARRANDYTE ROAD, LANGWARRIN SOUTH",-38.193448,145.182042,4,2,2,$999 per week,House,April 2017,3911
0,"471 WARRANDYTE ROAD, LANGWARRIN SOUTH",-38.193448,145.182042,4,2,2,$999 pw,House,April 2017,3911
0,"471 WARRANDYTE ROAD, LANGWARRIN SOUTH",-38.193448,145.182042,4,2,2,$999 pw,House,July 2016,3911
0,"471 WARRANDYTE ROAD, LANGWARRIN SOUTH",-38.193448,145.182042,4,2,2,$999 per week,House,June 2016,3911
0,"85A NEWTON AVENUE, LANGWARRIN SOUTH",-38.187383,145.189258,4,1,none,$460,none,January 2018,3911
0,"85A NEWTON AVENUE, LANGWARRIN SOUTH",-38.187383,145.189258,4,1,none,$460,none,January 2018,3911
0,"85A NEWTON AVENUE, LANGWARRIN SOUTH",-38.187383,145.189258,4,1,none,$390 pw,none,January 2015,3911
0,"85A NEWTON AVENUE, LANGWARRIN SOUTH",-38.187383,145.189258,4,1,none,$410 Weekly,none,May 2014,3911
