,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates,postcode
0,"17 BORANG AVENUE, MOUNT EVELYN",-37.79265500,145.38538200,4,2,5,$550 per week,House,September 2022,3796
0,"17 BORANG AVENUE, MOUNT EVELYN",-37.79265500,145.38538200,4,2,5,$550 per week,House,September 2022,3796
0,"17 BORANG AVENUE, MOUNT EVELYN",-37.79265500,145.38538200,4,2,5,$550,House,September 2022,3796
0,"17 BORANG AVE, MOUNT EVELYN",-37.79285001,145.38587001,4,2,5,$550 per week,House,September 2022,3796
0,"17 BORANG AVE, MOUNT EVELYN",-37.79285001,145.38587001,4,2,5,$550 per week,House,September 2022,3796
0,"15 GRANEBY RISE, MOUNT EVELYN",-37.7781280,145.3672370,4,2,1,$530 pw,House,September 2022,3796
0,"15 GRANEBY RISE, MOUNT EVELYN",-37.7781280,145.3672370,4,2,1,$530 pw,House,September 2022,3796
0,"15 GRANEBY RISE, MOUNT EVELYN",-37.7781280,145.3672370,4,2,1,$530 pw,House,March 2022,3796
0,"15 GRANEBY RISE, MOUNT EVELYN",-37.7781280,145.3672370,4,2,1,$530,House,March 2022,3796
0,"15 GRANEBY RISE, MOUNT EVELYN",-37.7781280,145.3672370,4,2,1,$520 pw,House,June 2021,3796
0,"15 GRANEBY RISE, MOUNT EVELYN",-37.7781280,145.3672370,4,2,1,$520,House,June 2021,3796
0,"15 GRANEBY RISE, MOUNT EVELYN",-37.7781280,145.3672370,4,2,1,$500 pw,House,November 2020,3796
0,"15 GRANEBY RISE, MOUNT EVELYN",-37.7781280,145.3672370,4,2,1,$500 pw,House,October 2020,3796
0,"15 GRANEBY RISE, MOUNT EVELYN",-37.7781280,145.3672370,4,2,1,$500,House,October 2020,3796
0,"55 YORK ROAD, MOUNT EVELYN",-37.7874854002,145.378661002,2,1,3,Leased,none,August 2022,3796
0,"55 YORK ROAD, MOUNT EVELYN",-37.7874854002,145.378661002,2,1,3,Leased,none,June 2022,3796
0,"55 YORK ROAD, MOUNT EVELYN",-37.7874854002,145.378661002,2,1,3,Leased,none,May 2022,3796
0,"55 YORK ROAD, MOUNT EVELYN",-37.7874854002,145.378661002,2,1,3,Leased,none,January 2022,3796
0,"55 YORK ROAD, MOUNT EVELYN",-37.7874854002,145.378661002,2,1,3,Leased,none,December 2021,3796
0,"55 YORK ROAD, MOUNT EVELYN",-37.7874854002,145.378661002,2,1,3,Leased,none,October 2021,3796
0,"6 ELIZABETH STREET, MOUNT EVELYN",-37.7822510,145.3733220,1,1,2,$295 per week,House,August 2022,3796
0,"6 ELIZABETH STREET, MOUNT EVELYN",-37.7822510,145.3733220,1,1,2,$295 per week,House,August 2022,3796
0,"6 ELIZABETH STREET, MOUNT EVELYN",-37.7822510,145.3733220,1,1,2,$295,House,August 2022,3796
