Place_Names,Longitude,Latitude
WARRAGUL HIGH SCHOOL,145.922369974778,-38.1670699990524
MERRILANDS COLLEGE (P-12),145.002770001497,-37.6966700013977
Oberon High School,144.365359994699,-38.230810023848
WINDSOR TECHNICAL SCHOOL,144.995979994265,-37.8567899969264
WODONGA HIGH SCHOOL,146.881050030162,-36.1256099631965
OAKLEIGH HIGH SCHOOL,145.116529954248,-37.9028999944979
SAINT KILDA ALTERNATIVE HIGH SCHOOL,144.981259970674,-37.8581799939274
Castlemaine High School,144.22750002004,-37.0505400004888
TEMPLESTOWE HIGH SCHOOL,145.106260014466,-37.7712399969732
MELBOURNE COLLEGE OF TEXTILES,144.936809982771,-37.7348500021251
TRAFALGAR SECONDARY COLLEGE,146.158299983939,-38.2145699985137
CAULFIELD PARK COMMUNITY SCHOOL,145.034169965748,-37.8739799906514
HURSTBRIDGE HIGH SCHOOL,145.187639986668,-37.6409600007856
BENDIGO COLLEGE OF ADVANCED EDUCATION,144.300699980208,-36.7795699995694
NEWBOROUGH SECONDARY COLLEGE,146.283200013327,-38.1787399964723
BRUNSWICK HIGH SCHOOL,144.956529978896,-37.7667900016698
PRAHRAN COLLEGE OF TECHNOLOGY,144.99263997436,-37.8520699966685
WESTERN HEIGHTS SECONDARY COLLEGE,144.328059976582,-38.1239099967387
MELBOURNE COLLEGE OF DECORATION,144.954029984357,-37.8126299967834
NAYOOK SECONDARY SCHOOL,145.949869949326,-37.9220699985223
SWINBURNE COLLEGE OF TECHNOLOGY,145.037919995733,-37.8223499885889
STAWELL COLLEGE WONGA CAMPUS,142.789869993381,-37.0626299699532
COLAC HIGH SCHOOL,143.566259967801,-38.3359599891257
COLAC TECHNICAL SCHOOL,143.592089996874,-38.3490099908239
COBDEN TECHNICAL SCHOOL,143.06360996375,-38.3240399890935
ROSANNA EAST HIGH SCHOOL,145.087039993,-37.7418999984668
RICHMOND TECHNICAL COLLEGE,145.00041998782,-37.8170699959844
TEMPLESTOWE TECHNICAL SCHOOL,145.113760012286,-37.7792899975403
SUNSHINE TECHNICAL SCHOOL,144.82875996248,-37.790679999122
YEA HIGH SCHOOL,145.408540012619,-37.2150100015112
HAMILTON COLLEGE,142.023760055899,-37.7367900118225
BALLARAT COLLEGE,143.832919980983,-37.5612400012259
BALLARAT GIRLS HIGH SCHOOL,143.864869982895,-37.5667899962974
BALMORAL HIGH SCHOOL,141.831529986873,-37.2420700070731
WANGARATTA HIGH SCHOOL,146.307719972999,-36.3448999866557
WARRANDYTE HIGH SCHOOL,145.184219977488,-37.748269993217
WATERDALE HIGH SCHOOL,145.050419985288,-37.7331800008938
MELBOURNE COLLEGE OF HAIRDRESSING,144.95291998755,-37.8126299967076
MELBOURNE COLLEGE OF PRINTING,144.947639966551,-37.802629996285
MELBOURNE HIGH SCHOOL,144.995309960556,-37.8368299967569
LA TROBE HIGH SCHOOL,145.04708998856,-37.7267899996253
LEONGATHA TECHNICAL SCHOOL,145.953479987902,-38.4792899972255
BAIRNSDALE HIGH SCHOOL,147.605699998906,-37.8253999893454
BAIRNSDALE SECONDARY COLLEGE,147.60499999861,-37.828709988311
BAIRNSDALE TECHNICAL SCHOOL,147.628479995152,-37.8242899921414
BURWOOD HIGH SCHOOL,145.113200005772,-37.8487399879327
BURWOOD TECHNICAL SCHOOL,145.13263998867,-37.8462399842587
UPWEY HIGH SCHOOL,145.335479967997,-37.9043599967087
WATSONIA HIGH SCHOOL,145.09625997042,-37.7142900009301
WATSONIA TECHNICAL SCHOOL,145.091809975704,-37.7095700005942
VICTORIAN RAILWAYS TECHNICAL COLLEGE,144.880139989926,-37.8520699999912
HEALESVILLE HIGH SCHOOL,145.530809938305,-37.6435899978117
BANYULE HIGH SCHOOL,145.080699999018,-37.7517899980917
BATMAN AUTOMOTIVE COLLEGE,144.95986999432,-37.7298500036687
CLAYTON TECHNICAL SCHOOL,145.127369952772,-37.9173499963354
BENTLEIGH HIGH SCHOOL,145.061259994101,-37.9281799888479
SEYMOUR PRIMARY SCHOOL,145.138479971278,-37.0209600074903
SEYMOUR TECHNICAL HIGH SCHOOL,145.141529982809,-37.0298500067572
