"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","SAVING","TOT","PC_GDP","A","1970",17.9943076841286,"E"
"BEL","SAVING","TOT","PC_GDP","A","1971",16.7208530769163,"E"
"BEL","SAVING","TOT","PC_GDP","A","1972",16.4660385011183,"E"
"BEL","SAVING","TOT","PC_GDP","A","1973",16.231896697031,"E"
"BEL","SAVING","TOT","PC_GDP","A","1974",16.6302430656198,"E"
"BEL","SAVING","TOT","PC_GDP","A","1975",12.9527978807191,"E"
"BEL","SAVING","TOT","PC_GDP","A","1976",13.9896656691193,"E"
"BEL","SAVING","TOT","PC_GDP","A","1977",11.7430356983496,"E"
"BEL","SAVING","TOT","PC_GDP","A","1978",11.467337787731,"E"
"BEL","SAVING","TOT","PC_GDP","A","1979",9.30302497779184,"E"
"BEL","SAVING","TOT","PC_GDP","A","1980",6.13388575691866,"E"
"BEL","SAVING","TOT","PC_GDP","A","1981",2.52775187215736,"E"
"BEL","SAVING","TOT","PC_GDP","A","1982",1.72363967304242,"E"
"BEL","SAVING","TOT","PC_GDP","A","1983",1.45150566091559,"E"
"BEL","SAVING","TOT","PC_GDP","A","1984",3.28883591217645,"E"
"BEL","SAVING","TOT","PC_GDP","A","1985",3.49975117496403,"E"
"BEL","SAVING","TOT","PC_GDP","A","1986",4.87808140334236,"E"
"BEL","SAVING","TOT","PC_GDP","A","1987",5.91446486921525,"E"
"BEL","SAVING","TOT","PC_GDP","A","1988",8.98033214544814,"E"
"BEL","SAVING","TOT","PC_GDP","A","1989",10.1886994047,"E"
"BEL","SAVING","TOT","PC_GDP","A","1990",10.5088558612007,"E"
"BEL","SAVING","TOT","PC_GDP","A","1991",9.3934204376538,"E"
"BEL","SAVING","TOT","PC_GDP","A","1992",9.68575145441807,"E"
"BEL","SAVING","TOT","PC_GDP","A","1993",10.4689931834185,"E"
"BEL","SAVING","TOT","PC_GDP","A","1994",11.7331685271999,"E"
"BEL","SAVING","TOT","PC_GDP","A","1995",11.2177305143117,
"BEL","SAVING","TOT","PC_GDP","A","1996",9.83120309155334,
"BEL","SAVING","TOT","PC_GDP","A","1997",11.3595402083431,
"BEL","SAVING","TOT","PC_GDP","A","1998",10.9153491603181,
"BEL","SAVING","TOT","PC_GDP","A","1999",11.2303947544361,
"BEL","SAVING","TOT","PC_GDP","A","2000",11.4754712212201,
"BEL","SAVING","TOT","PC_GDP","A","2001",10.2258914732788,
"BEL","SAVING","TOT","PC_GDP","A","2002",10.0277066295732,
"BEL","SAVING","TOT","PC_GDP","A","2003",9.4646092001357,
"BEL","SAVING","TOT","PC_GDP","A","2004",10.2188635053536,
"BEL","SAVING","TOT","PC_GDP","A","2005",10.0754553641236,
"BEL","SAVING","TOT","PC_GDP","A","2006",10.2304618001147,
"BEL","SAVING","TOT","PC_GDP","A","2007",11.1150172473051,
"BEL","SAVING","TOT","PC_GDP","A","2008",8.89797127505842,
"BEL","SAVING","TOT","PC_GDP","A","2009",5.51593083208841,
"BEL","SAVING","TOT","PC_GDP","A","2010",6.07360630236099,
"BEL","SAVING","TOT","PC_GDP","A","2011",4.10660168237812,
"BEL","SAVING","TOT","PC_GDP","A","2012",5.16830854015035,
"BEL","SAVING","TOT","PC_GDP","A","2013",4.7228161270617,
"BEL","SAVING","TOT","PC_GDP","A","2014",5.30042806101091,
"BEL","SAVING","TOT","PC_GDP","A","2015",6.04137639086406,
"BEL","SAVING","TOT","PC_GDP","A","2016",6.06016992443127,
"BEL","SAVING","TOT","PC_GDP","A","2017",6.48935928786444,
"BEL","SAVING","TOT","PC_GDP","A","2018",5.84907313042161,
