,Significant External predictors,Significant Internal predictors
0,sa2_2021,residence_type
1,sa2_2021,nbed
2,sa2_2021,nbath
3,sa2_2021,ncar
4,sa2_2021,
5,sa2_2021,
6,sa2_2021,
7,sa2_2021,
8,sa2_2021,
9,sa2_2021,
10,sa2_2021,
11,sa2_2021,
12,sa2_2021,
13,sa2_2021,
14,sa2_2021,
15,sa2_2021,
16,sa2_2021,
17,sa2_2021,
18,sa2_2021,
19,sa2_2021,
20,sa2_2021,
21,sa2_2021,
22,sa2_2021,
23,sa2_2021,
24,sa2_2021,
25,sa2_2021,
26,sa2_2021,
27,sa2_2021,
28,sa2_2021,
29,sa2_2021,
30,sa2_2021,
31,sa2_2021,
32,sa2_2021,
33,sa2_2021,
34,sa2_2021,
35,sa2_2021,
36,sa2_2021,
37,sa2_2021,
38,sa2_2021,
39,sa2_2021,
40,sa2_2021,
41,sa2_2021,
42,sa2_2021,
43,sa2_2021,
44,sa2_2021,
45,sa2_2021,
46,sa2_2021,
47,sa2_2021,
48,sa2_2021,
49,sa2_2021,
50,sa2_2021,
51,sa2_2021,
52,sa2_2021,
53,sa2_2021,
54,sa2_2021,
55,sa2_2021,
56,sa2_2021,
57,sa2_2021,
58,sa2_2021,
59,sa2_2021,
60,sa2_2021,
61,sa2_2021,
62,sa2_2021,
63,sa2_2021,
64,sa2_2021,
65,sa2_2021,
66,sa2_2021,
67,sa2_2021,
68,sa2_2021,
69,sa2_2021,
70,sa2_2021,
71,sa2_2021,
72,sa2_2021,
73,sa2_2021,
74,sa2_2021,
75,sa2_2021,
76,sa2_2021,
77,sa2_2021,
78,sa2_2021,
79,sa2_2021,
80,sa2_2021,
81,sa2_2021,
82,sa2_2021,
83,sa2_2021,
84,sa2_2021,
85,sa2_2021,
86,sa2_2021,
87,sa2_2021,
88,sa2_2021,
89,sa2_2021,
90,sa2_2021,
91,sa2_2021,
92,sa2_2021,
93,sa2_2021,
94,sa2_2021,
95,sa2_2021,
96,sa2_2021,
97,sa2_2021,
98,sa2_2021,
99,sa2_2021,
100,sa2_2021,
101,sa2_2021,
102,sa2_2021,
103,sa2_2021,
104,sa2_2021,
105,sa2_2021,
106,sa2_2021,
107,sa2_2021,
108,sa2_2021,
109,sa2_2021,
110,sa2_2021,
111,sa2_2021,
112,sa2_2021,
113,sa2_2021,
114,sa2_2021,
115,sa2_2021,
116,sa2_2021,
117,sa2_2021,
118,sa2_2021,
119,sa2_2021,
120,sa2_2021,
121,sa2_2021,
122,sa2_2021,
123,sa2_2021,
124,sa2_2021,
125,sa2_2021,
126,sa2_2021,
127,sa2_2021,
128,sa2_2021,
129,sa2_2021,
130,sa2_2021,
131,sa2_2021,
132,sa2_2021,
133,sa2_2021,
134,sa2_2021,
135,sa2_2021,
136,sa2_2021,
137,sa2_2021,
138,sa2_2021,
139,sa2_2021,
140,sa2_2021,
141,sa2_2021,
142,sa2_2021,
143,sa2_2021,
144,sa2_2021,
145,sa2_2021,
146,sa2_2021,
147,sa2_2021,
148,sa2_2021,
149,sa2_2021,
150,sa2_2021,
151,sa2_2021,
152,sa2_2021,
153,sa2_2021,
154,sa2_2021,
155,sa2_2021,
156,sa2_2021,
157,sa2_2021,
158,sa2_2021,
159,sa2_2021,
160,sa2_2021,
161,sa2_2021,
162,sa2_2021,
163,sa2_2021,
164,sa2_2021,
165,sa2_2021,
166,sa2_2021,
167,sa2_2021,
168,sa2_2021,
169,sa2_2021,
170,sa2_2021,
171,sa2_2021,
172,sa2_2021,
173,sa2_2021,
174,sa2_2021,
175,sa2_2021,
176,sa2_2021,
177,sa2_2021,
178,sa2_2021,
179,sa2_2021,
180,sa2_2021,
181,sa2_2021,
182,sa2_2021,
183,sa2_2021,
184,sa2_2021,
185,sa2_2021,
186,sa2_2021,
187,sa2_2021,
188,sa2_2021,
189,sa2_2021,
190,sa2_2021,
191,sa2_2021,
192,sa2_2021,
193,sa2_2021,
194,sa2_2021,
195,sa2_2021,
196,sa2_2021,
197,sa2_2021,
198,sa2_2021,
199,sa2_2021,
200,sa2_2021,
201,sa2_2021,
202,sa2_2021,
203,sa2_2021,
204,sa2_2021,
205,sa2_2021,
206,sa2_2021,
207,sa2_2021,
208,sa2_2021,
209,sa2_2021,
210,sa2_2021,
211,sa2_2021,
212,sa2_2021,
213,sa2_2021,
214,sa2_2021,
215,sa2_2021,
216,sa2_2021,
217,sa2_2021,
218,sa2_2021,
219,sa2_2021,
220,sa2_2021,
221,sa2_2021,
222,sa2_2021,
223,sa2_2021,
224,sa2_2021,
225,sa2_2021,
226,sa2_2021,
227,sa2_2021,
228,sa2_2021,
229,sa2_2021,
230,sa2_2021,
231,sa2_2021,
232,sa2_2021,
233,sa2_2021,
234,sa2_2021,
235,sa2_2021,
236,sa2_2021,
237,sa2_2021,
238,sa2_2021,
239,sa2_2021,
240,sa2_2021,
241,sa2_2021,
242,sa2_2021,
243,sa2_2021,
244,sa2_2021,
245,sa2_2021,
246,sa2_2021,
247,sa2_2021,
248,sa2_2021,
249,sa2_2021,
250,sa2_2021,
251,sa2_2021,
252,sa2_2021,
253,sa2_2021,
254,sa2_2021,
255,sa2_2021,
256,sa2_2021,
257,sa2_2021,
258,sa2_2021,
259,sa2_2021,
260,sa2_2021,
261,sa2_2021,
262,sa2_2021,
263,sa2_2021,
264,sa2_2021,
265,sa2_2021,
266,sa2_2021,
267,sa2_2021,
268,sa2_2021,
269,sa2_2021,
270,sa2_2021,
271,sa2_2021,
272,sa2_2021,
273,sa2_2021,
274,sa2_2021,
275,sa2_2021,
276,sa2_2021,
277,sa2_2021,
278,sa2_2021,
279,sa2_2021,
280,sa2_2021,
281,sa2_2021,
282,sa2_2021,
283,sa2_2021,
284,sa2_2021,
285,sa2_2021,
286,sa2_2021,
287,sa2_2021,
288,sa2_2021,
289,sa2_2021,
290,sa2_2021,
291,sa2_2021,
292,sa2_2021,
293,sa2_2021,
294,sa2_2021,
295,sa2_2021,
296,sa2_2021,
297,sa2_2021,
298,sa2_2021,
299,sa2_2021,
300,sa2_2021,
301,sa2_2021,
302,sa2_2021,
303,sa2_2021,
304,sa2_2021,
305,sa2_2021,
306,sa2_2021,
307,sa2_2021,
308,sa2_2021,
309,sa2_2021,
310,sa2_2021,
311,sa2_2021,
312,sa2_2021,
313,sa2_2021,
314,sa2_2021,
315,sa2_2021,
316,sa2_2021,
317,sa2_2021,
318,sa2_2021,
319,sa2_2021,
320,sa2_2021,
321,sa2_2021,
322,sa2_2021,
323,sa2_2021,
324,sa2_2021,
325,sa2_2021,
326,sa2_2021,
327,sa2_2021,
328,sa2_2021,
329,sa2_2021,
330,sa2_2021,
331,sa2_2021,
332,sa2_2021,
333,sa2_2021,
334,sa2_2021,
335,sa2_2021,
336,sa2_2021,
337,sa2_2021,
338,sa2_2021,
339,sa2_2021,
340,sa2_2021,
341,sa2_2021,
342,sa2_2021,
343,sa2_2021,
344,sa2_2021,
345,sa2_2021,
346,sa2_2021,
347,sa2_2021,
348,sa2_2021,
349,sa2_2021,
350,sa2_2021,
351,min_distance_to_cbd,
