,Significant External predictors,Significant Internal predictors
0,sa2_2021,residence_type
1,sa2_2021,nbed
2,sa2_2021,nbath
3,sa2_2021,ncar
4,sa2_2021,
5,sa2_2021,
6,sa2_2021,
7,sa2_2021,
8,sa2_2021,
9,sa2_2021,
10,sa2_2021,
11,sa2_2021,
12,sa2_2021,
13,sa2_2021,
14,sa2_2021,
15,sa2_2021,
16,sa2_2021,
17,sa2_2021,
18,sa2_2021,
19,sa2_2021,
20,sa2_2021,
21,sa2_2021,
22,sa2_2021,
23,sa2_2021,
24,sa2_2021,
25,sa2_2021,
26,sa2_2021,
27,sa2_2021,
28,sa2_2021,
29,sa2_2021,
30,sa2_2021,
31,sa2_2021,
32,sa2_2021,
33,sa2_2021,
34,sa2_2021,
35,sa2_2021,
36,sa2_2021,
37,sa2_2021,
38,sa2_2021,
39,sa2_2021,
40,sa2_2021,
41,sa2_2021,
42,sa2_2021,
43,sa2_2021,
44,sa2_2021,
45,sa2_2021,
46,sa2_2021,
47,sa2_2021,
48,sa2_2021,
49,sa2_2021,
50,sa2_2021,
51,sa2_2021,
52,sa2_2021,
53,sa2_2021,
54,sa2_2021,
55,sa2_2021,
56,sa2_2021,
57,sa2_2021,
58,sa2_2021,
59,sa2_2021,
60,sa2_2021,
61,sa2_2021,
62,sa2_2021,
63,sa2_2021,
64,sa2_2021,
65,sa2_2021,
66,sa2_2021,
67,sa2_2021,
68,sa2_2021,
69,sa2_2021,
70,sa2_2021,
71,sa2_2021,
72,sa2_2021,
73,sa2_2021,
74,sa2_2021,
75,sa2_2021,
76,sa2_2021,
77,sa2_2021,
78,sa2_2021,
79,sa2_2021,
80,sa2_2021,
81,sa2_2021,
82,sa2_2021,
83,sa2_2021,
84,sa2_2021,
85,sa2_2021,
86,sa2_2021,
87,sa2_2021,
88,sa2_2021,
89,sa2_2021,
90,sa2_2021,
91,sa2_2021,
92,sa2_2021,
93,sa2_2021,
94,sa2_2021,
95,sa2_2021,
96,sa2_2021,
97,sa2_2021,
98,sa2_2021,
99,sa2_2021,
100,sa2_2021,
101,sa2_2021,
102,sa2_2021,
103,sa2_2021,
104,sa2_2021,
105,sa2_2021,
106,sa2_2021,
107,sa2_2021,
108,sa2_2021,
109,sa2_2021,
110,sa2_2021,
111,sa2_2021,
112,sa2_2021,
113,sa2_2021,
114,sa2_2021,
115,sa2_2021,
116,sa2_2021,
117,sa2_2021,
118,sa2_2021,
119,sa2_2021,
120,sa2_2021,
121,sa2_2021,
122,sa2_2021,
123,sa2_2021,
124,sa2_2021,
125,sa2_2021,
126,sa2_2021,
127,sa2_2021,
128,sa2_2021,
129,sa2_2021,
130,sa2_2021,
131,sa2_2021,
132,sa2_2021,
133,sa2_2021,
134,sa2_2021,
135,sa2_2021,
136,sa2_2021,
137,sa2_2021,
138,sa2_2021,
139,sa2_2021,
140,sa2_2021,
141,sa2_2021,
142,sa2_2021,
143,sa2_2021,
144,sa2_2021,
145,sa2_2021,
146,sa2_2021,
147,sa2_2021,
148,sa2_2021,
149,sa2_2021,
150,sa2_2021,
151,sa2_2021,
152,sa2_2021,
153,sa2_2021,
154,sa2_2021,
155,sa2_2021,
156,sa2_2021,
157,sa2_2021,
158,sa2_2021,
159,sa2_2021,
160,sa2_2021,
161,sa2_2021,
162,sa2_2021,
163,sa2_2021,
164,sa2_2021,
165,sa2_2021,
166,sa2_2021,
167,sa2_2021,
168,sa2_2021,
169,sa2_2021,
170,sa2_2021,
171,sa2_2021,
172,sa2_2021,
173,sa2_2021,
174,sa2_2021,
175,sa2_2021,
176,sa2_2021,
177,sa2_2021,
178,sa2_2021,
179,sa2_2021,
180,sa2_2021,
181,sa2_2021,
182,sa2_2021,
183,sa2_2021,
184,sa2_2021,
185,sa2_2021,
186,sa2_2021,
187,sa2_2021,
188,sa2_2021,
189,sa2_2021,
190,sa2_2021,
191,sa2_2021,
192,sa2_2021,
193,sa2_2021,
194,sa2_2021,
195,sa2_2021,
196,sa2_2021,
197,sa2_2021,
198,sa2_2021,
199,sa2_2021,
200,sa2_2021,
201,sa2_2021,
202,sa2_2021,
203,sa2_2021,
204,min_distance_to_park,
205,min_distance_to_prim,
206,min_distance_to_train,
207,min_distance_to_hosp,
208,gdp,
209,population_density,
